Rank,Player,Team,Pos,Value
1,Garrett Crochet,Boston Red Sox,P,654
2,Zack Wheeler,Philadelphia Phillies,P,650
3,Chris Sale,Atlanta Braves,P,649
4,Logan Webb,San Francisco Giants,P,637
4,MacKenzie Gore,Washington Nationals,P,637
6,Paul Skenes,Pittsburgh Pirates,P,636
7,Chris Bassitt,Toronto Blue Jays,P,632
8,Tarik Skubal,Detroit Tigers,P,630
9,Luis Severino,Sacramento Athletics,P,628
10,Jesus Luzardo,Philadelphia Phillies,P,625
10,Mitch Keller,Pittsburgh Pirates,P,625
12,Max Fried,New York Yankees,P,621
13,Kris Bubic,Kansas City Royals,P,620
14,Nathan Eovaldi,Texas Rangers,P,614
15,Dean Kremer,Baltimore Orioles,P,606
16,Spencer Schwellenbach,Atlanta Braves,P,605
16,Nick Lodolo,Cincinnati Reds,P,605
16,Carlos Rodon,New York Yankees,P,605
19,Jake Irvin,Washington Nationals,P,604
20,Jameson Taillon,Chicago Cubs,P,600
21,Luis Castillo,Seattle Mariners,P,599
22,Framber Valdez,Houston Astros,P,597
23,Robbie Ray,San Francisco Giants,P,596
23,Brandon Pfaadt,Arizona Diamondbacks,P,596
25,Zack Littell,Tampa Bay Rays,P,594
26,Michael Lorenzen,Kansas City Royals,P,590
27,Dylan Cease,San Diego Padres,P,589
28,Yoshinobu Yamamoto,Los Angeles Dodgers,P,588
29,Yusei Kikuchi,Los Angeles Angels,P,583
30,Ryan Pepiot,Tampa Bay Rays,P,580
30,Mitchell Parker,Washington Nationals,P,580
32,Jonathan Cannon,Chicago White Sox,P,579
32,Zac Gallen,Arizona Diamondbacks,P,579
34,Sonny Gray,St. Louis Cardinals,P,573
35,Merrill Kelly,Arizona Diamondbacks,P,569
36,Tyler Mahle,Texas Rangers,P,566
36,Michael King,San Diego Padres,P,566
36,Aaron Nola,Philadelphia Phillies,P,566
36,Kevin Gausman,Toronto Blue Jays,P,566
40,David Peterson,New York Mets,P,563
40,Michael Wacha,Kansas City Royals,P,563
40,Freddy Peralta,Milwaukee Brewers,P,563
43,Justin Verlander,San Francisco Giants,P,559
43,Seth Lugo,Kansas City Royals,P,559
43,Bryan Woo,Seattle Mariners,P,559
43,Davis Martin,Chicago White Sox,P,559
47,Hunter Brown,Houston Astros,P,558
48,Jose Berrios,Toronto Blue Jays,P,557
49,Kyle Freeland,Colorado Rockies,P,556
50,Antonio Senzatela,Colorado Rockies,P,553
51,Clay Holmes,New York Mets,P,552
52,Jose Soriano,Los Angeles Angels,P,551
53,Jeffrey Springs,Sacramento Athletics,P,550
54,Matthew Boyd,Chicago Cubs,P,545
55,Nick Martinez,Cincinnati Reds,P,544
55,Shane Baz,Tampa Bay Rays,P,544
57,Tyler Anderson,Los Angeles Angels,P,541
58,Ben Brown,Chicago Cubs,P,539
59,Tanner Bibee,Cleveland Guardians,P,538
59,Joe Ryan,Minnesota Twins,P,538
61,Erick Fedde,St. Louis Cardinals,P,535
62,Luis Ortiz,Cleveland Guardians,P,532
63,JP Sears,Sacramento Athletics,P,528
64,Grant Holmes,Atlanta Braves,P,525
65,Cole Ragans,Kansas City Royals,P,524
66,Bailey Ober,Minnesota Twins,P,522
67,Andrew Heaney,Pittsburgh Pirates,P,519
67,Will Warren,New York Yankees,P,519
69,Griffin Canning,New York Mets,P,518
70,Hunter Greene,Cincinnati Reds,P,516
71,Bailey Falter,Pittsburgh Pirates,P,515
71,Matthew Liberatore,St. Louis Cardinals,P,515
73,Jacob deGrom,Texas Rangers,P,512
74,Jack Flaherty,Detroit Tigers,P,511
75,Kyle Hendricks,Los Angeles Angels,P,509
76,Max Meyer,Miami Marlins,P,508
77,Nick Pivetta,San Diego Padres,P,507
78,Cristopher Sanchez,Philadelphia Phillies,P,505
79,Ronel Blanco,Houston Astros,P,502
80,Trevor Williams,Washington Nationals,P,501
81,Taj Bradley,Tampa Bay Rays,P,499
81,Tomoyuki Sugano,Baltimore Orioles,P,499
83,Chad Patrick,Milwaukee Brewers,P,498
84,Sean Burke,Chicago White Sox,P,496
85,Jordan Hicks,San Francisco Giants,P,495
86,Chris Paddack,Minnesota Twins,P,493
87,Gavin Williams,Cleveland Guardians,P,492
88,Reese Olson,Detroit Tigers,P,489
88,Bowden Francis,Toronto Blue Jays,P,489
90,Landen Roupp,San Francisco Giants,P,485
90,Kodai Senga,New York Mets,P,485
92,Sandy Alcantara,Miami Marlins,P,482
93,Tylor Megill,New York Mets,P,479
93,Andre Pallante,St. Louis Cardinals,P,479
93,Brady Singer,Cincinnati Reds,P,479
96,Eduardo Rodriguez,Arizona Diamondbacks,P,474
96,Jack Kochanowicz,Los Angeles Angels,P,474
98,Pablo Lopez,Minnesota Twins,P,473
98,Drew Rasmussen,Tampa Bay Rays,P,473
100,Osvaldo Bido,Sacramento Athletics,P,472
