Rank,Player,Team,Pos,Value
1,Andre Pallante,St. Louis Cardinals,P,6.8
2,Jose Soriano,Los Angeles Angels,P,5.5
3,Logan Webb,San Francisco Giants,P,4.4
4,David Peterson,New York Mets,P,3.6
5,Yoshinobu Yamamoto,Los Angeles Dodgers,P,3.4
6,Cristopher Sanchez,Philadelphia Phillies,P,3.4
7,Clay Holmes,New York Mets,P,3.2
8,Framber Valdez,Houston Astros,P,3.0
9,Spencer Schwellenbach,Atlanta Braves,P,2.7
10,Will Warren,New York Yankees,P,2.7
11,Antonio Senzatela,Colorado Rockies,P,2.6
12,Shane Baz,Tampa Bay Rays,P,2.4
13,Nathan Eovaldi,Texas Rangers,P,2.4
14,Max Meyer,Miami Marlins,P,2.3
15,Paul Skenes,Pittsburgh Pirates,P,2.3
16,Hunter Brown,Houston Astros,P,2.3
17,Kyle Freeland,Colorado Rockies,P,2.2
18,Kris Bubic,Kansas City Royals,P,2.2
19,Chris Bassitt,Toronto Blue Jays,P,2.2
20,Davis Martin,Chicago White Sox,P,2.2
21,Jack Kochanowicz,Los Angeles Angels,P,2.1
22,Zack Wheeler,Philadelphia Phillies,P,2.1
22,Garrett Crochet,Boston Red Sox,P,2.1
24,Aaron Nola,Philadelphia Phillies,P,2.0
25,Tanner Bibee,Cleveland Guardians,P,2.0
26,Brandon Pfaadt,Arizona Diamondbacks,P,2.0
26,Luis Severino,Sacramento Athletics,P,2.0
28,Merrill Kelly,Arizona Diamondbacks,P,2.0
29,Luis Ortiz,Cleveland Guardians,P,2.0
30,Andrew Heaney,Pittsburgh Pirates,P,1.9
31,Michael Wacha,Kansas City Royals,P,1.9
32,Max Fried,New York Yankees,P,1.9
33,Jose Berrios,Toronto Blue Jays,P,1.9
33,Taj Bradley,Tampa Bay Rays,P,1.9
35,Nick Martinez,Cincinnati Reds,P,1.8
36,Kodai Senga,New York Mets,P,1.8
37,Tomoyuki Sugano,Baltimore Orioles,P,1.7
38,Jesus Luzardo,Philadelphia Phillies,P,1.7
39,Tyler Mahle,Texas Rangers,P,1.7
40,Erick Fedde,St. Louis Cardinals,P,1.7
41,Grant Holmes,Atlanta Braves,P,1.7
42,Carlos Rodon,New York Yankees,P,1.6
43,Nick Lodolo,Cincinnati Reds,P,1.5
44,Tarik Skubal,Detroit Tigers,P,1.5
45,Jameson Taillon,Chicago Cubs,P,1.5
46,Jacob deGrom,Texas Rangers,P,1.5
47,Seth Lugo,Kansas City Royals,P,1.5
48,Ryan Pepiot,Tampa Bay Rays,P,1.4
49,Dylan Cease,San Diego Padres,P,1.4
49,Sonny Gray,St. Louis Cardinals,P,1.4
51,Mitch Keller,Pittsburgh Pirates,P,1.4
52,Michael Lorenzen,Kansas City Royals,P,1.4
53,Kyle Hendricks,Los Angeles Angels,P,1.4
54,Dean Kremer,Baltimore Orioles,P,1.4
55,Freddy Peralta,Milwaukee Brewers,P,1.4
56,Robbie Ray,San Francisco Giants,P,1.4
57,Luis Castillo,Seattle Mariners,P,1.3
58,Justin Verlander,San Francisco Giants,P,1.3
58,Mitchell Parker,Washington Nationals,P,1.3
60,Matthew Liberatore,St. Louis Cardinals,P,1.3
61,Jake Irvin,Washington Nationals,P,1.3
62,Chris Sale,Atlanta Braves,P,1.2
63,Zack Littell,Tampa Bay Rays,P,1.2
64,Chris Paddack,Minnesota Twins,P,1.2
65,Bryan Woo,Seattle Mariners,P,1.2
66,Jonathan Cannon,Chicago White Sox,P,1.2
67,Bailey Falter,Pittsburgh Pirates,P,1.2
68,JP Sears,Sacramento Athletics,P,1.1
69,Ronel Blanco,Houston Astros,P,1.1
70,Michael King,San Diego Padres,P,1.1
71,Jeffrey Springs,Sacramento Athletics,P,1.1
72,Nick Pivetta,San Diego Padres,P,1.1
73,Yusei Kikuchi,Los Angeles Angels,P,1.1
74,Kevin Gausman,Toronto Blue Jays,P,1.0
75,Tyler Anderson,Los Angeles Angels,P,1.0
75,MacKenzie Gore,Washington Nationals,P,1.0
75,Matthew Boyd,Chicago Cubs,P,1.0
78,Zac Gallen,Arizona Diamondbacks,P,1.0
79,Bailey Ober,Minnesota Twins,P,0.9
80,Joe Ryan,Minnesota Twins,P,0.8
