Rank,Player,Team,Pos,Value
1,Garrett Whitlock,Boston Red Sox,P,4
2,Tanner Scott,Los Angeles Dodgers,P,3
2,Griffin Jax,Minnesota Twins,P,3
2,Tyler Ferguson,Sacramento Athletics,P,3
2,Raisel Iglesias,Atlanta Braves,P,3
2,Mark Leiter Jr.,New York Yankees,P,3
2,Justin Wilson,Boston Red Sox,P,3
2,Orion Kerkering,Philadelphia Phillies,P,3
2,Ryne Stanek,New York Mets,P,3
2,Dylan Lee,Atlanta Braves,P,3
2,Yimi Garcia,Toronto Blue Jays,P,3
2,Shelby Miller,Arizona Diamondbacks,P,3
13,Bryan Abreu,Houston Astros,P,2
13,Hector Neris,Los Angeles Angels,P,2
13,Porter Hodge,Chicago Cubs,P,2
13,Tyler Holton,Detroit Tigers,P,2
13,Jesus Tinoco,Miami Marlins,P,2
13,Jeff Hoffman,Toronto Blue Jays,P,2
13,Steven Wilson,Chicago White Sox,P,2
13,Edwin Uceta,Tampa Bay Rays,P,2
13,Kyle Finnegan,Washington Nationals,P,2
13,Ryan Helsley,St. Louis Cardinals,P,2
13,Brendon Little,Toronto Blue Jays,P,2
13,Angel Zerpa,Kansas City Royals,P,2
13,Justin Topa,Minnesota Twins,P,2
13,Erik Miller,San Francisco Giants,P,2
13,Graham Ashcraft,Cincinnati Reds,P,2
13,Jorge Lopez,Washington Nationals,P,2
13,Andres Munoz,Seattle Mariners,P,2
13,Steven Okert,Houston Astros,P,2
13,Calvin Faucher,Miami Marlins,P,2
13,Ryan Borucki,Pittsburgh Pirates,P,2
13,Ryan Johnson,Los Angeles Angels,P,2
13,Ben Joyce,Los Angeles Angels,P,2
13,Anthony Bender,Miami Marlins,P,2
13,Carlos Estevez,Kansas City Royals,P,2
13,Brad Keller,Chicago Cubs,P,2
13,Greg Weissert,Boston Red Sox,P,2
13,Reed Garrett,New York Mets,P,2
13,Emilio Pagán,Cincinnati Reds,P,2
13,Jordan Romano,Philadelphia Phillies,P,2
13,Nick Mears,Milwaukee Brewers,P,2
13,Gabe Speier,Seattle Mariners,P,2
13,Adrian Morejon,San Diego Padres,P,2
13,Kirby Yates,Los Angeles Dodgers,P,2
13,Will Vest,Detroit Tigers,P,2
13,Yennier Cano,Baltimore Orioles,P,2
13,Camilo Doval,San Francisco Giants,P,2
13,Ryan Walker,San Francisco Giants,P,2
13,Colin Holderman,Pittsburgh Pirates,P,2
13,Jordan Leasure,Chicago White Sox,P,2
13,Huascar Brazoban,New York Mets,P,2
13,Caleb Thielbar,Chicago Cubs,P,2
13,Caleb Ferguson,Pittsburgh Pirates,P,2
13,Seth Halvorsen,Colorado Rockies,P,2
13,Cole Sands,Minnesota Twins,P,2
13,Emmanuel Clase,Cleveland Guardians,P,2
13,Ryan Thompson,Arizona Diamondbacks,P,2
13,Jose Leclerc,Sacramento Athletics,P,2
13,Joe Ross,Philadelphia Phillies,P,2
13,Tommy Kahnle,Detroit Tigers,P,2
62,Penn Murfee,Chicago White Sox,P,1
62,Trevor Megill,Milwaukee Brewers,P,1
62,Justin Sterner,Sacramento Athletics,P,1
62,Grant Anderson,Milwaukee Brewers,P,1
62,Beau Brieske,Detroit Tigers,P,1
62,Matt Strahm,Philadelphia Phillies,P,1
62,Jeremiah Estrada,San Diego Padres,P,1
62,Tyler Rogers,San Francisco Giants,P,1
62,Trent Thornton,Seattle Mariners,P,1
62,Zack Kelly,Boston Red Sox,P,1
62,Nick Sandlin,Toronto Blue Jays,P,1
62,Blake Treinen,Los Angeles Dodgers,P,1
62,Caleb Freeman,Chicago White Sox,P,1
62,Ryan Fernandez,St. Louis Cardinals,P,1
62,Cade Smith,Cleveland Guardians,P,1
62,Ryan Zeferjahn,Los Angeles Angels,P,1
62,Cole Sulser,Tampa Bay Rays,P,1
62,Robert Suarez,San Diego Padres,P,1
62,John King,St. Louis Cardinals,P,1
62,Enyel De Los Santos,Atlanta Braves,P,1
62,Pierce Johnson,Atlanta Braves,P,1
62,Jack Dreyer,Los Angeles Dodgers,P,1
62,Tony Santillan,Cincinnati Reds,P,1
62,Jose Castillo,New York Mets,P,1
62,Hoby Milner,Texas Rangers,P,1
62,Devin Williams,New York Yankees,P,1
62,Shawn Armstrong,Texas Rangers,P,1
62,Tayler Scott,Houston Astros,P,1
62,Jimmy Herget,Colorado Rockies,P,1
62,Joey Wentz,Pittsburgh Pirates,P,1
62,Lucas Sims,Washington Nationals,P,1
62,Kevin Ginkel,Arizona Diamondbacks,P,1
62,Keegan Akin,Baltimore Orioles,P,1
62,Carlos Vargas,Seattle Mariners,P,1
62,Marc Church,Texas Rangers,P,1
62,Anthony Veneziano,Miami Marlins,P,1
62,Luke Weaver,New York Yankees,P,1
62,Daniel Palencia,Chicago Cubs,P,1
62,Jose Butto,New York Mets,P,1
