Rank,Player,Team,Pos,Value
1,Jorge Lopez,Washington Nationals,P,6
2,Jason Adam,San Diego Padres,P,4
2,Will Vest,Detroit Tigers,P,4
2,Ben Casparius,Los Angeles Dodgers,P,4
2,Anthony Banda,Los Angeles Dodgers,P,4
2,Griffin Canning,New York Mets,P,4
2,Brock Burke,Los Angeles Angels,P,4
2,Emmanuel Clase,Cleveland Guardians,P,4
2,Jeff Hoffman,Toronto Blue Jays,P,4
2,Jose Alvarado,Philadelphia Phillies,P,4
2,Grant Holman,Sacramento Athletics,P,4
12,Camilo Doval,San Francisco Giants,P,3
12,Ryan Gusto,Houston Astros,P,3
12,Kirby Yates,Los Angeles Dodgers,P,3
12,Casey Legumina,Seattle Mariners,P,3
12,Tim Hill,New York Yankees,P,3
12,Michael King,San Diego Padres,P,3
12,Edwin Uceta,Tampa Bay Rays,P,3
12,Aroldis Chapman,Boston Red Sox,P,3
12,Tylor Megill,New York Mets,P,3
12,Shelby Miller,Arizona Diamondbacks,P,3
12,Daniel Lynch IV,Kansas City Royals,P,3
12,Clay Holmes,New York Mets,P,3
12,Graham Ashcraft,Cincinnati Reds,P,3
12,Raisel Iglesias,Atlanta Braves,P,3
12,Orion Kerkering,Philadelphia Phillies,P,3
12,Randy Rodriguez,San Francisco Giants,P,3
12,Tim Herrin,Cleveland Guardians,P,3
12,Brady Singer,Cincinnati Reds,P,3
12,Daysbel Hernandez,Atlanta Braves,P,3
12,Cal Quantrill,Miami Marlins,P,3
12,Pete Fairbanks,Tampa Bay Rays,P,3
12,Casey Mize,Detroit Tigers,P,3
12,Mason Fluharty,Toronto Blue Jays,P,3
12,Freddy Peralta,Milwaukee Brewers,P,3
12,Max Kranick,New York Mets,P,3
37,Jose Quintana,Milwaukee Brewers,P,2
37,Huascar Brazoban,New York Mets,P,2
37,Kodai Senga,New York Mets,P,2
37,Miles Mikolas,St. Louis Cardinals,P,2
37,Jacob Webb,Texas Rangers,P,2
37,Carlos Rodon,New York Yankees,P,2
37,Seranthony Dominguez,Baltimore Orioles,P,2
37,Jack Flaherty,Detroit Tigers,P,2
37,Trevor Williams,Washington Nationals,P,2
37,Cole Sands,Minnesota Twins,P,2
37,Garrett Whitlock,Boston Red Sox,P,2
37,Dean Kremer,Baltimore Orioles,P,2
37,Brennan Bernardino,Boston Red Sox,P,2
37,Pablo Lopez,Minnesota Twins,P,2
37,Gabe Speier,Seattle Mariners,P,2
37,Cade Horton,Chicago Cubs,P,2
37,Jacob deGrom,Texas Rangers,P,2
37,Chase Shugart,Pittsburgh Pirates,P,2
37,Chris Bassitt,Toronto Blue Jays,P,2
37,Gavin Williams,Cleveland Guardians,P,2
37,Porter Hodge,Chicago Cubs,P,2
37,Tyler Alexander,Milwaukee Brewers,P,2
37,Osvaldo Bido,Sacramento Athletics,P,2
37,Reese Olson,Detroit Tigers,P,2
37,Tyler Holton,Detroit Tigers,P,2
37,Sonny Gray,St. Louis Cardinals,P,2
37,Chase Dollander,Colorado Rockies,P,2
37,Justin Steele,Chicago Cubs,P,2
37,Jack Leiter,Texas Rangers,P,2
37,Andrew Abbott,Cincinnati Reds,P,2
37,Hayden Birdsong,San Francisco Giants,P,2
37,Bryan King,Houston Astros,P,2
37,Ryan Zeferjahn,Los Angeles Angels,P,2
37,Ryan Pressly,Chicago Cubs,P,2
37,Jack Dreyer,Los Angeles Dodgers,P,2
37,Bryan Baker,Baltimore Orioles,P,2
37,Brendon Little,Toronto Blue Jays,P,2
37,Joe Ross,Philadelphia Phillies,P,2
37,Angel Zerpa,Kansas City Royals,P,2
37,Steven Matz,St. Louis Cardinals,P,2
37,Devin Williams,New York Yankees,P,2
37,Erik Miller,San Francisco Giants,P,2
37,Lake Bachar,Miami Marlins,P,2
37,Walker Buehler,Boston Red Sox,P,2
37,Patrick Corbin,Texas Rangers,P,2
37,Tyler Rogers,San Francisco Giants,P,2
37,Carlos Carrasco,New York Yankees,P,2
37,Ben Lively,Cleveland Guardians,P,2
37,Easton Lucas,Toronto Blue Jays,P,2
37,Jesus Tinoco,Miami Marlins,P,2
37,Louis Varland,Minnesota Twins,P,2
37,Brenan Hanifee,Detroit Tigers,P,2
37,Tanner Bibee,Cleveland Guardians,P,2
37,Gordon Graceffo,St. Louis Cardinals,P,2
37,Will Warren,New York Yankees,P,2
37,Bryce Miller,Seattle Mariners,P,2
37,Mark Leiter Jr.,New York Yankees,P,2
37,Wandy Peralta,San Diego Padres,P,2
37,Jose Butto,New York Mets,P,2
37,Calvin Faucher,Miami Marlins,P,2
37,Justin Wilson,Boston Red Sox,P,2
37,Logan Henderson,Milwaukee Brewers,P,2
37,Jared Koenig,Milwaukee Brewers,P,2
37,Jack Kochanowicz,Los Angeles Angels,P,2
