Rank,Player,Team,Pos,Value
1,Lucas Erceg,Kansas City Royals,P,13
1,Griffin Jax,Minnesota Twins,P,13
3,Bryan Abreu,Houston Astros,P,12
3,Tony Santillan,Cincinnati Reds,P,12
3,Abner Uribe,Milwaukee Brewers,P,12
3,Jason Adam,San Diego Padres,P,12
7,Hunter Gaddis,Cleveland Guardians,P,11
7,Alex Vesia,Los Angeles Dodgers,P,11
9,Bryan King,Houston Astros,P,10
9,Kyle Leahy,St. Louis Cardinals,P,10
9,Jose A. Ferrer,Washington Nationals,P,10
9,Reed Garrett,New York Mets,P,10
13,Jeremiah Estrada,San Diego Padres,P,9
13,Cade Smith,Cleveland Guardians,P,9
13,Brendon Little,Toronto Blue Jays,P,9
13,Tyler Rogers,San Francisco Giants,P,9
13,Chris Martin,Texas Rangers,P,9
13,Robert Garcia,Texas Rangers,P,9
19,Tyler Ferguson,Sacramento Athletics,P,8
19,Gregory Soto,Baltimore Orioles,P,8
19,Julian Merryweather,Chicago Cubs,P,8
19,Louis Varland,Minnesota Twins,P,8
19,Dylan Lee,Atlanta Braves,P,8
19,Yennier Cano,Baltimore Orioles,P,8
19,Phil Maton,St. Louis Cardinals,P,8
19,Kirby Yates,Los Angeles Dodgers,P,8
27,Justin Sterner,Sacramento Athletics,P,7
27,Fernando Cruz,New York Yankees,P,7
27,Graham Ashcraft,Cincinnati Reds,P,7
27,Tim Herrin,Cleveland Guardians,P,7
27,Jalen Beeks,Arizona Diamondbacks,P,7
27,Jared Koenig,Milwaukee Brewers,P,7
27,Daysbel Hernandez,Atlanta Braves,P,7
27,Greg Weissert,Boston Red Sox,P,7
27,Nick Mears,Milwaukee Brewers,P,7
27,Camilo Doval,San Francisco Giants,P,7
27,Jordan Leasure,Chicago White Sox,P,7
27,A.J. Minter,New York Mets,P,7
27,Scott Barlow,Cincinnati Reds,P,7
27,Gabe Speier,Seattle Mariners,P,7
41,Porter Hodge,Chicago Cubs,P,6
41,JoJo Romero,St. Louis Cardinals,P,6
41,Steven Wilson,Chicago White Sox,P,6
41,Ryan Zeferjahn,Los Angeles Angels,P,6
41,Edwin Uceta,Tampa Bay Rays,P,6
41,Shelby Miller,Arizona Diamondbacks,P,6
41,Keegan Akin,Baltimore Orioles,P,6
41,Orion Kerkering,Philadelphia Phillies,P,6
41,Mark Leiter Jr.,New York Yankees,P,6
41,Ryan Borucki,Pittsburgh Pirates,P,6
41,Taylor Rogers,Cincinnati Reds,P,6
41,Ronny Henriquez,Miami Marlins,P,6
41,Luke Weaver,New York Yankees,P,6
41,Adrian Morejon,San Diego Padres,P,6
41,Yariel Rodriguez,Toronto Blue Jays,P,6
41,Huascar Brazoban,New York Mets,P,6
41,Brock Burke,Los Angeles Angels,P,6
41,Mason Montgomery,Tampa Bay Rays,P,6
59,Trent Thornton,Seattle Mariners,P,5
59,Brenan Hanifee,Detroit Tigers,P,5
59,Jose Alvarado,Philadelphia Phillies,P,5
59,Manuel Rodriguez,Tampa Bay Rays,P,5
59,Tommy Kahnle,Detroit Tigers,P,5
59,Erik Miller,San Francisco Giants,P,5
59,Matt Strahm,Philadelphia Phillies,P,5
59,T.J. McFarland,Sacramento Athletics,P,5
59,Dennis Santana,Pittsburgh Pirates,P,5
59,Kevin Ginkel,Arizona Diamondbacks,P,5
59,Carlos Vargas,Seattle Mariners,P,5
59,Pierce Johnson,Atlanta Braves,P,5
59,Daniel Palencia,Chicago Cubs,P,5
59,Anthony Bender,Miami Marlins,P,5
59,Jacob Webb,Texas Rangers,P,5
59,Brad Keller,Chicago Cubs,P,5
59,Jordan Romano,Philadelphia Phillies,P,5
59,Brock Stewart,Minnesota Twins,P,5
59,Caleb Ferguson,Pittsburgh Pirates,P,5
59,Yimi Garcia,Toronto Blue Jays,P,5
59,Cole Sands,Minnesota Twins,P,5
59,Ryan Thompson,Arizona Diamondbacks,P,5
81,Lake Bachar,Miami Marlins,P,4
81,Devin Williams,New York Yankees,P,4
81,Tanner Scott,Los Angeles Dodgers,P,4
81,Anthony Veneziano,Miami Marlins,P,4
81,Randy Rodriguez,San Francisco Giants,P,4
81,Hoby Milner,Texas Rangers,P,4
81,Justin Wilson,Boston Red Sox,P,4
81,Jorge Lopez,Washington Nationals,P,4
81,Garrett Cleavinger,Tampa Bay Rays,P,4
81,Jake Bird,Colorado Rockies,P,4
81,Rafael Montero,Atlanta Braves,P,4
81,Danny Young,New York Mets,P,4
81,John Schreiber,Kansas City Royals,P,4
81,Collin Snider,Seattle Mariners,P,4
81,Ben Casparius,Los Angeles Dodgers,P,4
96,Steven Cruz,Kansas City Royals,P,3
96,Caleb Thielbar,Chicago Cubs,P,3
96,Jakob Junis,Cleveland Guardians,P,3
96,Beau Brieske,Detroit Tigers,P,3
96,Tyler Holton,Detroit Tigers,P,3
