Rank,Player,Team,Pos,Value
1,Jose Alvarado,Philadelphia Phillies,P,1.000
1,Aroldis Chapman,Boston Red Sox,P,1.000
1,Edwin Diaz,New York Mets,P,1.000
1,David Bednar,Pittsburgh Pirates,P,1.000
1,Kenley Jansen,Los Angeles Angels,P,1.000
1,Dennis Santana,Pittsburgh Pirates,P,1.000
1,Ryan Pressly,Chicago Cubs,P,1.000
1,FElix Bautista,Baltimore Orioles,P,1.000
1,Jhoan Duran,Minnesota Twins,P,1.000
1,A.J. Puk,Arizona Diamondbacks,P,1.000
1,Josh Hader,Houston Astros,P,1.000
12,Robert Suarez,San Diego Padres,P,0.938
13,Mason Miller,Sacramento Athletics,P,0.917
14,Luke Jackson,Texas Rangers,P,0.889
14,Pete Fairbanks,Tampa Bay Rays,P,0.889
16,Andres Munoz,Seattle Mariners,P,0.882
16,Kyle Finnegan,Washington Nationals,P,0.882
18,Trevor Megill,Milwaukee Brewers,P,0.875
18,Carlos Estevez,Kansas City Royals,P,0.875
20,Luke Weaver,New York Yankees,P,0.857
20,Emilio Pagán,Cincinnati Reds,P,0.857
22,Jeff Hoffman,Toronto Blue Jays,P,0.833
23,Ryan Walker,San Francisco Giants,P,0.818
23,Emmanuel Clase,Cleveland Guardians,P,0.818
23,Ryan Helsley,St. Louis Cardinals,P,0.818
26,Devin Williams,New York Yankees,P,0.800
27,Tanner Scott,Los Angeles Dodgers,P,0.750
27,Justin Slaten,Boston Red Sox,P,0.750
27,Cade Smith,Cleveland Guardians,P,0.750
27,Tommy Kahnle,Detroit Tigers,P,0.750
31,Raisel Iglesias,Atlanta Braves,P,0.727
32,Jordan Romano,Philadelphia Phillies,P,0.714
32,Camilo Doval,San Francisco Giants,P,0.714
32,Will Vest,Detroit Tigers,P,0.714
35,Jesus Tinoco,Miami Marlins,P,0.667
36,Shelby Miller,Arizona Diamondbacks,P,0.625
37,Seth Halvorsen,Colorado Rockies,P,0.500
37,Calvin Faucher,Miami Marlins,P,0.500
37,Yimi Garcia,Toronto Blue Jays,P,0.500
37,Porter Hodge,Chicago Cubs,P,0.500
37,Cole Sands,Minnesota Twins,P,0.500
42,Dylan Lee,Atlanta Braves,P,0.250
42,Tyler Ferguson,Sacramento Athletics,P,0.250
42,Ryne Stanek,New York Mets,P,0.250
42,Mark Leiter Jr.,New York Yankees,P,0.250
46,Garrett Whitlock,Boston Red Sox,P,0.000
