Rank,Player,Team,Pos,Value
1,Mitch Keller,Pittsburgh Pirates,P,4
2,Paul Skenes,Pittsburgh Pirates,P,3
2,Zack Littell,Tampa Bay Rays,P,3
4,Ryan Pepiot,Tampa Bay Rays,P,2
4,Hunter Brown,Houston Astros,P,2
4,Nick Martinez,Cincinnati Reds,P,2
4,Richard Fitts,Boston Red Sox,P,2
4,Jack Kochanowicz,Los Angeles Angels,P,2
4,Luis Ortiz,Cleveland Guardians,P,2
4,Justin Verlander,San Francisco Giants,P,2
4,Logan Webb,San Francisco Giants,P,2
4,Max Meyer,Miami Marlins,P,2
4,Chad Patrick,Milwaukee Brewers,P,2
4,Seth Lugo,Kansas City Royals,P,2
4,Ronel Blanco,Houston Astros,P,2
4,Kyle Freeland,Colorado Rockies,P,2
4,Yusei Kikuchi,Los Angeles Angels,P,2
4,Dustin May,Los Angeles Dodgers,P,2
19,Eduardo Rodriguez,Arizona Diamondbacks,P,1
19,Patrick Corbin,Texas Rangers,P,1
19,Nick Lodolo,Cincinnati Reds,P,1
19,Kris Bubic,Kansas City Royals,P,1
19,Merrill Kelly,Arizona Diamondbacks,P,1
19,Tanner Bibee,Cleveland Guardians,P,1
19,Shane Smith,Chicago White Sox,P,1
19,Matthew Liberatore,St. Louis Cardinals,P,1
19,Yoshinobu Yamamoto,Los Angeles Dodgers,P,1
19,Garrett Crochet,Boston Red Sox,P,1
19,Spencer Schwellenbach,Atlanta Braves,P,1
19,Brady Singer,Cincinnati Reds,P,1
19,Hunter Greene,Cincinnati Reds,P,1
19,Jonathan Cannon,Chicago White Sox,P,1
19,Chris Sale,Atlanta Braves,P,1
19,Andre Pallante,St. Louis Cardinals,P,1
19,Framber Valdez,Houston Astros,P,1
19,Aaron Nola,Philadelphia Phillies,P,1
19,Mitchell Parker,Washington Nationals,P,1
19,Brad Lord,Washington Nationals,P,1
19,Tomoyuki Sugano,Baltimore Orioles,P,1
19,JP Sears,Sacramento Athletics,P,1
19,Sandy Alcantara,Miami Marlins,P,1
19,Brandon Pfaadt,Arizona Diamondbacks,P,1
19,Grant Holmes,Atlanta Braves,P,1
19,Jordan Hicks,San Francisco Giants,P,1
19,Bryan Woo,Seattle Mariners,P,1
19,Davis Martin,Chicago White Sox,P,1
19,Kodai Senga,New York Mets,P,1
19,Noah Cameron,Kansas City Royals,P,1
19,Jack Flaherty,Detroit Tigers,P,1
19,Carson Spiers,Cincinnati Reds,P,1
19,MacKenzie Gore,Washington Nationals,P,1
19,Jameson Taillon,Chicago Cubs,P,1
19,Taj Bradley,Tampa Bay Rays,P,1
19,Pablo Lopez,Minnesota Twins,P,1
19,Tyler Mahle,Texas Rangers,P,1
19,Jacob deGrom,Texas Rangers,P,1
19,Kyle Hendricks,Los Angeles Angels,P,1
19,Michael Wacha,Kansas City Royals,P,1
19,Erick Fedde,St. Louis Cardinals,P,1
19,Dylan Cease,San Diego Padres,P,1
19,Chase Dollander,Colorado Rockies,P,1
19,Bryce Elder,Atlanta Braves,P,1
19,Landen Roupp,San Francisco Giants,P,1
19,David Peterson,New York Mets,P,1
19,Zach Eflin,Baltimore Orioles,P,1
19,Matthew Boyd,Chicago Cubs,P,1
19,Clay Holmes,New York Mets,P,1
68,Tirso Ornelas,St. Louis Cardinals,LF,0
68,Oneil Cruz,Pittsburgh Pirates,CF,0
68,Yoendrys Gomez,Los Angeles Dodgers,P,0
68,Lawrence Butler,Sacramento Athletics,RF,0
68,Spencer Arrighetti,Houston Astros,P,0
68,Andrew Chafin,Washington Nationals,P,0
68,Lucas Erceg,Kansas City Royals,P,0
68,John Brebbia,Detroit Tigers,P,0
68,Eli White,Atlanta Braves,CF,0
68,Devin Williams,New York Yankees,P,0
68,Erik Miller,San Francisco Giants,P,0
68,Victor Scott II,St. Louis Cardinals,CF,0
68,Hector Neris,Los Angeles Angels,P,0
68,Luis Peralta,Colorado Rockies,P,0
68,Luis Severino,Sacramento Athletics,P,0
68,Tyler Soderstrom,Sacramento Athletics,1B,0
68,Addison Barger,Toronto Blue Jays,RF,0
68,Bradley Blalock,Colorado Rockies,P,0
68,Jose Urena,Toronto Blue Jays,P,0
68,A.J. Puk,Arizona Diamondbacks,P,0
68,Bryan Abreu,Houston Astros,P,0
68,Lake Bachar,Miami Marlins,P,0
68,Logan Gillaspie,San Diego Padres,P,0
68,Justin Martinez,Arizona Diamondbacks,P,0
68,Edwin Diaz,New York Mets,P,0
68,Kevin Newman,Los Angeles Angels,SS,0
68,Trevor Megill,Milwaukee Brewers,P,0
68,Daniel Schneemann,Cleveland Guardians,2B,0
68,Joey Cantillo,Cleveland Guardians,P,0
68,Jacob Young,Washington Nationals,CF,0
68,Matt McLain,Cincinnati Reds,SS,0
68,Michael McGreevy,St. Louis Cardinals,P,0
68,Francisco Lindor,New York Mets,SS,0
