Rank,Player,Team,Pos,Value
1,Brandon Pfaadt,Arizona Diamondbacks,P,7
2,Jorge Lopez,Washington Nationals,P,6
2,Robbie Ray,San Francisco Giants,P,6
2,Hunter Brown,Houston Astros,P,6
2,Casey Mize,Detroit Tigers,P,6
2,Max Fried,New York Yankees,P,6
7,Bryan Woo,Seattle Mariners,P,5
7,Nick Pivetta,San Diego Padres,P,5
7,Carlos Rodon,New York Yankees,P,5
7,Kris Bubic,Kansas City Royals,P,5
7,Freddy Peralta,Milwaukee Brewers,P,5
7,Logan Webb,San Francisco Giants,P,5
7,Brady Singer,Cincinnati Reds,P,5
7,Sonny Gray,St. Louis Cardinals,P,5
7,Tyler Mahle,Texas Rangers,P,5
7,Jesus Luzardo,Philadelphia Phillies,P,5
7,Griffin Canning,New York Mets,P,5
7,Zack Wheeler,Philadelphia Phillies,P,5
7,Merrill Kelly,Arizona Diamondbacks,P,5
7,Jeffrey Springs,Sacramento Athletics,P,5
7,Yoshinobu Yamamoto,Los Angeles Dodgers,P,5
7,Clay Holmes,New York Mets,P,5
23,Reese Olson,Detroit Tigers,P,4
23,Walker Buehler,Boston Red Sox,P,4
23,Tarik Skubal,Detroit Tigers,P,4
23,Andre Pallante,St. Louis Cardinals,P,4
23,Luis Castillo,Seattle Mariners,P,4
23,Jose Alvarado,Philadelphia Phillies,P,4
23,Tomoyuki Sugano,Baltimore Orioles,P,4
23,Jackson Jobe,Detroit Tigers,P,4
23,Grant Holman,Sacramento Athletics,P,4
23,Jose Quintana,Milwaukee Brewers,P,4
23,Joe Ryan,Minnesota Twins,P,4
23,Kodai Senga,New York Mets,P,4
23,Nick Lodolo,Cincinnati Reds,P,4
23,Jason Adam,San Diego Padres,P,4
23,Jacob deGrom,Texas Rangers,P,4
23,Ben Casparius,Los Angeles Dodgers,P,4
23,Chris Bassitt,Toronto Blue Jays,P,4
23,Anthony Banda,Los Angeles Dodgers,P,4
23,Garrett Crochet,Boston Red Sox,P,4
23,Hunter Greene,Cincinnati Reds,P,4
23,Mitchell Parker,Washington Nationals,P,4
23,Pablo Lopez,Minnesota Twins,P,4
23,JP Sears,Sacramento Athletics,P,4
23,Will Vest,Detroit Tigers,P,4
23,Matthew Boyd,Chicago Cubs,P,4
23,Nathan Eovaldi,Texas Rangers,P,4
23,Michael King,San Diego Padres,P,4
23,Brock Burke,Los Angeles Angels,P,4
23,Jeff Hoffman,Toronto Blue Jays,P,4
23,Bailey Ober,Minnesota Twins,P,4
23,Emmanuel Clase,Cleveland Guardians,P,4
23,Cristopher Sanchez,Philadelphia Phillies,P,4
55,Logan Henderson,Milwaukee Brewers,P,3
55,Jack Kochanowicz,Los Angeles Angels,P,3
55,Jack Leiter,Texas Rangers,P,3
55,Edwin Uceta,Tampa Bay Rays,P,3
55,Tylor Megill,New York Mets,P,3
55,Mason Fluharty,Toronto Blue Jays,P,3
55,Paul Skenes,Pittsburgh Pirates,P,3
55,Daniel Lynch IV,Kansas City Royals,P,3
55,Cal Quantrill,Miami Marlins,P,3
55,Graham Ashcraft,Cincinnati Reds,P,3
55,Miles Mikolas,St. Louis Cardinals,P,3
55,Jose Soriano,Los Angeles Angels,P,3
55,Ryan Gusto,Houston Astros,P,3
55,Framber Valdez,Houston Astros,P,3
55,Zac Gallen,Arizona Diamondbacks,P,3
55,Jameson Taillon,Chicago Cubs,P,3
55,Ben Brown,Chicago Cubs,P,3
55,AJ Smith-Shawver,Atlanta Braves,P,3
55,Matthew Liberatore,St. Louis Cardinals,P,3
55,Seth Lugo,Kansas City Royals,P,3
55,Tim Herrin,Cleveland Guardians,P,3
55,Kirby Yates,Los Angeles Dodgers,P,3
55,Gavin Williams,Cleveland Guardians,P,3
55,Casey Legumina,Seattle Mariners,P,3
55,Michael Wacha,Kansas City Royals,P,3
55,Jake Irvin,Washington Nationals,P,3
55,Daysbel Hernandez,Atlanta Braves,P,3
55,Pete Fairbanks,Tampa Bay Rays,P,3
55,Dean Kremer,Baltimore Orioles,P,3
55,Andrew Abbott,Cincinnati Reds,P,3
55,Kevin Gausman,Toronto Blue Jays,P,3
55,Taj Bradley,Tampa Bay Rays,P,3
55,Aroldis Chapman,Boston Red Sox,P,3
55,Shelby Miller,Arizona Diamondbacks,P,3
55,Zach Eflin,Baltimore Orioles,P,3
55,Max Kranick,New York Mets,P,3
55,Randy Vasquez,San Diego Padres,P,3
55,Camilo Doval,San Francisco Giants,P,3
55,Tim Hill,New York Yankees,P,3
55,Shane Baz,Tampa Bay Rays,P,3
55,Shota Imanaga,Chicago Cubs,P,3
55,Erick Fedde,St. Louis Cardinals,P,3
55,Patrick Corbin,Texas Rangers,P,3
55,Ronel Blanco,Houston Astros,P,3
55,Max Meyer,Miami Marlins,P,3
55,Justin Steele,Chicago Cubs,P,3
