# Data scraped on: 2025-05-22 02:16:11
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Mets,0.107,0.144,0.032,0.091,0.119,0.145
2,Texas,0.121,0.236,0.276,0.100,0.148,0.160
3,Boston,0.122,0.074,0.143,0.110,0.134,0.152
4,SF Giants,0.123,0.125,0.150,0.114,0.133,0.143
5,St. Louis,0.127,0.134,0.067,0.098,0.154,0.157
6,Minnesota,0.127,0.115,0.143,0.125,0.129,0.158
7,NY Yankees,0.128,0.168,0.250,0.118,0.141,0.157
8,Kansas City,0.133,0.153,0.286,0.126,0.141,0.140
9,Seattle,0.138,0.134,0.286,0.154,0.122,0.154
10,Detroit,0.139,0.117,0.000,0.112,0.161,0.137
11,Pittsburgh,0.141,0.115,0.034,0.145,0.137,0.153
12,Philadelphia,0.143,0.136,0.167,0.143,0.143,0.155
13,Houston,0.143,0.206,0.382,0.155,0.131,0.149
14,San Diego,0.144,0.210,0.225,0.128,0.160,0.147
15,Milwaukee,0.147,0.133,0.130,0.134,0.161,0.150
16,Washington,0.153,0.217,0.188,0.158,0.148,0.148
17,Cincinnati,0.155,0.056,0.067,0.160,0.150,0.165
18,Cleveland,0.156,0.137,0.034,0.128,0.181,0.165
19,Chi Cubs,0.158,0.184,0.032,0.157,0.159,0.147
20,Atlanta,0.164,0.198,0.143,0.141,0.185,0.136
21,Chi Sox,0.165,0.162,0.286,0.148,0.182,0.168
22,LA Angels,0.169,0.185,0.231,0.177,0.164,0.170
23,Tampa Bay,0.170,0.206,0.281,0.164,0.183,0.154
24,Miami,0.172,0.179,0.152,0.162,0.187,0.170
25,LA Dodgers,0.172,0.206,0.091,0.186,0.156,0.164
26,Colorado,0.176,0.244,0.263,0.171,0.183,0.183
27,Toronto,0.177,0.080,0.121,0.196,0.151,0.168
28,Sacramento,0.184,0.318,0.474,0.227,0.140,0.157
29,Arizona,0.186,0.188,0.103,0.164,0.210,0.172
30,Baltimore,0.208,0.194,0.103,0.243,0.170,0.151
