# Data scraped on: 2025-05-22 02:16:16
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,San Diego,1716.00,115.00,46.00,860.00,856.00,6266.00
2,Houston,1765.00,110.00,40.00,877.00,888.00,6095.00
2,Atlanta,1765.00,108.00,35.00,838.00,927.00,6043.00
4,NY Yankees,1767.00,110.00,39.00,972.00,795.00,6665.00
5,Minnesota,1775.00,109.00,40.00,847.00,928.00,6074.00
5,Texas,1775.00,100.00,32.00,971.00,804.00,6105.00
7,Toronto,1793.00,105.00,33.00,1021.00,772.00,6043.00
8,Tampa Bay,1809.00,109.00,35.00,1168.00,641.00,6017.00
9,Cleveland,1821.00,110.00,33.00,841.00,980.00,6300.00
10,Detroit,1838.00,113.00,33.00,829.00,1009.00,6218.00
11,SF Giants,1841.00,113.00,44.00,990.00,851.00,6091.00
11,Baltimore,1841.00,119.00,42.00,941.00,900.00,6142.00
13,Philadelphia,1842.00,111.00,40.00,956.00,886.00,6205.00
14,St. Louis,1843.00,110.00,40.00,883.00,960.00,6042.00
15,LA Angels,1850.00,122.00,45.00,750.00,1100.00,6143.00
16,NY Mets,1854.00,103.00,35.00,821.00,1033.00,6606.00
17,Seattle,1858.00,102.00,37.00,934.00,924.00,5800.00
18,Pittsburgh,1863.00,104.00,33.00,972.00,891.00,6152.00
19,Kansas City,1865.00,111.00,41.00,956.00,909.00,6231.00
20,LA Dodgers,1874.00,116.00,35.00,1038.00,836.00,6662.00
21,Cincinnati,1876.00,102.00,35.00,919.00,957.00,6063.00
22,Chi Sox,1880.00,114.00,42.00,906.00,974.00,6238.00
23,Milwaukee,1882.00,123.00,50.00,950.00,932.00,6183.00
24,Chi Cubs,1887.00,106.00,35.00,894.00,993.00,6028.00
25,Miami,1892.00,126.00,35.00,1113.00,779.00,6268.00
26,Washington,1897.00,110.00,33.00,920.00,977.00,6111.00
27,Arizona,1925.00,107.00,30.00,1013.00,912.00,6191.00
28,Colorado,1933.00,135.00,44.00,1011.00,922.00,6320.00
29,Boston,1956.00,108.00,40.00,1043.00,913.00,6152.00
30,Sacramento,1997.00,119.00,42.00,1017.00,980.00,6160.00
