# Data scraped on: 2025-05-22 02:16:25
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Minnesota,0.216,0.198,0.229,0.199,0.232,0.252
2,Kansas City,0.217,0.276,0.457,0.198,0.237,0.236
3,NY Mets,0.218,0.244,0.097,0.207,0.227,0.277
4,SF Giants,0.224,0.135,0.175,0.209,0.241,0.260
5,Texas,0.227,0.348,0.379,0.199,0.262,0.279
6,St. Louis,0.229,0.206,0.267,0.188,0.266,0.262
7,Boston,0.230,0.221,0.343,0.237,0.223,0.248
8,Detroit,0.236,0.165,0.032,0.202,0.264,0.225
9,Philadelphia,0.239,0.223,0.278,0.233,0.247,0.252
10,Seattle,0.249,0.216,0.371,0.260,0.238,0.237
11,Pittsburgh,0.255,0.156,0.103,0.241,0.270,0.270
12,San Diego,0.256,0.330,0.325,0.215,0.299,0.246
13,Chi Cubs,0.258,0.276,0.161,0.240,0.275,0.252
14,NY Yankees,0.259,0.238,0.333,0.264,0.254,0.271
15,Milwaukee,0.264,0.212,0.174,0.214,0.318,0.256
16,Cincinnati,0.267,0.169,0.167,0.274,0.260,0.270
17,Washington,0.269,0.245,0.219,0.286,0.254,0.252
18,Toronto,0.270,0.130,0.121,0.291,0.241,0.276
19,Houston,0.274,0.412,0.647,0.272,0.277,0.270
20,Tampa Bay,0.278,0.235,0.344,0.261,0.309,0.252
21,Cleveland,0.285,0.263,0.103,0.253,0.313,0.273
22,Atlanta,0.291,0.281,0.214,0.270,0.309,0.237
23,LA Dodgers,0.293,0.280,0.121,0.287,0.300,0.274
24,Colorado,0.294,0.325,0.447,0.275,0.316,0.301
25,Arizona,0.298,0.281,0.138,0.285,0.313,0.273
26,Chi Sox,0.299,0.283,0.486,0.266,0.331,0.304
27,LA Angels,0.302,0.324,0.410,0.292,0.310,0.294
28,Sacramento,0.322,0.409,0.605,0.360,0.283,0.268
29,Miami,0.327,0.282,0.273,0.325,0.331,0.287
30,Baltimore,0.327,0.398,0.231,0.359,0.294,0.255
