# Data scraped on: 2025-05-22 02:16:30
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Texas,32.18,29.67,29.00,32.74,31.52,33.60
2,Houston,32.22,32.33,34.00,32.83,31.64,33.33
3,San Diego,32.55,33.33,40.00,32.58,32.52,33.51
4,NY Yankees,32.60,33.67,36.00,32.62,32.59,33.72
5,Atlanta,32.75,32.00,28.00,33.95,31.73,33.38
6,NY Mets,32.84,30.00,31.00,33.41,32.39,33.11
7,Minnesota,32.86,32.00,35.00,33.61,32.19,34.01
8,Chi Sox,32.88,33.00,35.00,33.33,32.46,33.83
9,Cincinnati,32.92,29.67,30.00,32.96,32.88,33.57
10,SF Giants,33.02,34.67,40.00,34.27,31.67,33.58
11,Detroit,33.04,34.33,31.00,33.82,32.43,33.49
12,Milwaukee,33.08,37.67,46.00,34.44,31.72,33.59
13,Pittsburgh,33.24,32.00,29.00,35.04,31.44,33.85
14,Kansas City,33.27,32.67,35.00,33.65,32.88,33.31
15,St. Louis,33.32,32.33,30.00,33.21,33.42,33.80
16,Tampa Bay,33.45,34.00,32.00,34.52,31.61,33.67
17,LA Dodgers,33.52,35.67,33.00,34.70,32.13,33.48
18,Cleveland,33.63,31.67,29.00,34.09,33.23,33.00
18,Toronto,33.63,33.33,33.00,34.22,32.86,33.41
20,LA Angels,33.90,36.00,39.00,35.16,33.07,33.36
21,Washington,33.94,35.33,32.00,34.70,33.27,34.18
22,Chi Cubs,34.00,32.67,31.00,35.39,32.81,33.57
22,Philadelphia,34.00,34.33,36.00,34.72,33.25,33.98
24,Baltimore,34.10,34.33,39.00,36.43,31.96,33.82
25,Boston,34.33,31.67,35.00,35.27,33.36,34.25
26,Arizona,34.44,32.00,29.00,34.69,34.17,34.54
27,Seattle,34.79,32.33,35.00,35.13,34.46,32.96
28,Miami,34.83,39.00,33.00,35.32,34.15,34.31
29,Sacramento,34.96,36.67,38.00,37.08,33.00,33.77
30,Colorado,35.18,41.00,38.00,38.08,32.40,34.71
