# Data scraped on: 2025-05-22 02:16:40
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,SF Giants,0.38,1.00,0.00,0.54,0.21,0.23
2,Toronto,0.33,0.00,0.00,0.26,0.43,0.23
3,Milwaukee,0.32,0.33,0.00,0.24,0.40,0.18
4,Cleveland,0.31,0.33,1.00,0.41,0.23,0.15
5,Colorado,0.31,0.33,0.00,0.33,0.28,0.25
5,Philadelphia,0.31,0.00,0.00,0.32,0.29,0.19
7,NY Mets,0.30,0.33,0.00,0.18,0.39,0.22
7,Chi Sox,0.30,0.67,0.00,0.46,0.15,0.23
9,Washington,0.29,0.00,0.00,0.22,0.35,0.19
9,Tampa Bay,0.29,1.00,0.00,0.39,0.11,0.17
11,Atlanta,0.27,1.00,2.00,0.09,0.42,0.20
12,Minnesota,0.27,0.33,0.00,0.30,0.23,0.14
13,LA Dodgers,0.24,0.00,0.00,0.15,0.35,0.21
14,Boston,0.24,0.33,0.00,0.23,0.24,0.17
15,St. Louis,0.22,0.33,0.00,0.29,0.15,0.18
16,Cincinnati,0.22,0.33,1.00,0.24,0.19,0.23
17,Pittsburgh,0.20,0.67,1.00,0.32,0.08,0.17
18,San Diego,0.19,0.00,0.00,0.25,0.13,0.14
19,Seattle,0.19,0.00,0.00,0.13,0.25,0.25
20,Detroit,0.18,0.33,0.00,0.27,0.11,0.20
21,Miami,0.17,0.00,0.00,0.11,0.25,0.28
21,NY Yankees,0.17,0.67,1.00,0.19,0.14,0.22
23,Arizona,0.16,0.00,0.00,0.15,0.17,0.15
24,Baltimore,0.15,0.00,0.00,0.22,0.08,0.20
25,Sacramento,0.14,0.00,0.00,0.13,0.15,0.23
25,Chi Cubs,0.14,0.67,0.00,0.22,0.07,0.19
25,Texas,0.14,0.33,0.00,0.15,0.13,0.12
28,Houston,0.12,0.33,1.00,0.08,0.16,0.23
29,Kansas City,0.12,0.00,0.00,0.15,0.08,0.17
30,LA Angels,0.10,0.33,0.00,0.16,0.07,0.21
