# Data scraped on: 2025-05-22 02:16:50
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Angels,1.04,1.33,1.00,0.95,1.10,0.90
2,Tampa Bay,0.96,1.33,2.00,0.81,1.22,0.58
3,Kansas City,0.82,1.00,0.00,0.85,0.80,0.65
4,Pittsburgh,0.82,0.67,0.00,0.80,0.84,0.76
5,Chi Cubs,0.80,1.00,2.00,0.65,0.93,0.49
6,Boston,0.76,1.33,0.00,0.88,0.64,0.64
7,Chi Sox,0.74,0.67,0.00,0.88,0.62,0.61
8,Colorado,0.73,0.33,0.00,0.67,0.80,0.90
9,Texas,0.72,0.67,0.00,0.70,0.74,0.53
10,Seattle,0.69,0.67,1.00,0.79,0.58,0.51
11,Detroit,0.66,0.33,1.00,0.59,0.71,0.67
12,Miami,0.63,0.33,0.00,0.61,0.65,0.63
13,LA Dodgers,0.62,0.33,1.00,0.67,0.57,0.62
14,Atlanta,0.60,0.00,0.00,0.73,0.50,0.73
14,Baltimore,0.60,0.00,0.00,0.74,0.48,0.53
16,NY Mets,0.60,0.33,1.00,0.45,0.71,0.66
16,SF Giants,0.60,0.00,0.00,0.54,0.67,0.75
16,Milwaukee,0.60,0.33,0.00,0.48,0.72,0.61
19,San Diego,0.60,0.00,0.00,0.54,0.65,0.63
20,Arizona,0.58,0.00,0.00,0.92,0.21,0.75
21,Cleveland,0.56,0.67,0.00,0.68,0.46,0.72
22,Philadelphia,0.53,0.00,0.00,0.52,0.54,0.61
23,St. Louis,0.52,0.33,0.00,0.58,0.46,0.86
24,NY Yankees,0.50,0.00,0.00,0.42,0.59,0.57
24,Toronto,0.50,0.67,0.00,0.44,0.57,0.70
26,Washington,0.49,1.00,2.00,0.57,0.42,0.81
27,Houston,0.47,0.67,0.00,0.54,0.40,0.72
28,Cincinnati,0.45,1.33,0.00,0.44,0.46,0.55
29,Minnesota,0.45,0.33,1.00,0.57,0.35,0.43
30,Sacramento,0.44,0.67,1.00,0.38,0.50,0.79
