# Data scraped on: 2025-05-22 02:16:55
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,0.25,0.33,1.00,0.31,0.18,0.52
1,Seattle,0.25,0.00,0.00,0.17,0.33,0.32
3,Cleveland,0.27,0.67,1.00,0.09,0.42,0.38
4,Kansas City,0.27,0.33,0.00,0.27,0.28,0.42
5,Texas,0.30,0.00,0.00,0.19,0.43,0.46
5,LA Dodgers,0.30,0.33,1.00,0.33,0.26,0.38
5,St. Louis,0.30,0.67,2.00,0.42,0.19,0.26
8,Houston,0.31,0.33,0.00,0.33,0.28,0.37
9,SF Giants,0.32,0.33,1.00,0.31,0.33,0.43
10,Colorado,0.33,0.00,0.00,0.17,0.48,0.41
11,LA Angels,0.33,1.00,0.00,0.32,0.34,0.50
11,Baltimore,0.33,0.00,0.00,0.39,0.28,0.34
13,NY Mets,0.34,0.67,1.00,0.23,0.43,0.58
13,Chi Cubs,0.34,0.00,0.00,0.43,0.26,0.30
15,San Diego,0.34,0.67,2.00,0.25,0.43,0.40
16,Philadelphia,0.35,0.00,0.00,0.48,0.21,0.37
17,Miami,0.38,0.00,0.00,0.29,0.50,0.54
17,Atlanta,0.38,0.67,2.00,0.32,0.42,0.42
19,Milwaukee,0.38,0.33,1.00,0.40,0.36,0.41
20,Tampa Bay,0.39,1.00,1.00,0.39,0.39,0.40
21,Cincinnati,0.39,1.00,0.00,0.40,0.38,0.57
22,Arizona,0.40,0.67,0.00,0.42,0.38,0.33
23,Pittsburgh,0.42,0.33,1.00,0.52,0.32,0.52
24,Boston,0.45,0.67,0.00,0.58,0.32,0.47
25,Detroit,0.46,0.67,1.00,0.59,0.36,0.37
26,Minnesota,0.47,0.00,0.00,0.52,0.42,0.43
27,Toronto,0.48,0.33,0.00,0.48,0.48,0.44
28,Sacramento,0.48,0.67,0.00,0.63,0.35,0.57
29,Chi Sox,0.64,1.00,2.00,0.63,0.65,0.33
30,Washington,0.67,0.33,0.00,0.65,0.69,0.27
