# Data scraped on: 2025-05-22 02:17:04
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Mets,0.66,0.67,0.00,0.59,0.71,1.05
2,St. Louis,0.74,0.67,0.00,0.50,0.96,1.07
3,SF Giants,0.78,0.67,1.00,0.69,0.88,0.94
3,Pittsburgh,0.78,0.00,0.00,0.88,0.68,1.02
5,Texas,0.86,2.00,2.00,0.70,1.04,1.22
6,Kansas City,0.88,1.00,3.00,0.77,1.00,0.89
7,NY Yankees,0.90,1.33,3.00,0.81,1.00,1.11
8,Minnesota,0.92,0.67,1.00,0.87,0.96,1.17
9,Houston,0.94,1.67,4.00,1.13,0.76,1.13
10,Boston,0.96,0.33,1.00,0.88,1.04,1.17
11,Seattle,0.98,1.00,3.00,1.25,0.71,1.13
12,Philadelphia,1.00,0.67,1.00,1.04,0.96,1.13
12,Washington,1.00,1.67,1.00,1.13,0.88,1.04
14,Detroit,1.06,0.67,0.00,0.91,1.18,0.96
15,San Diego,1.06,1.67,2.00,0.96,1.17,1.07
16,Cincinnati,1.08,0.00,0.00,1.24,0.92,1.21
17,Chi Sox,1.08,1.33,3.00,1.00,1.15,1.24
18,Milwaukee,1.10,1.00,1.00,1.04,1.16,1.19
19,Cleveland,1.10,0.67,0.00,0.86,1.31,1.12
20,Atlanta,1.15,1.33,1.00,0.95,1.31,0.93
21,Chi Cubs,1.20,1.00,0.00,1.26,1.15,1.12
22,Miami,1.27,1.33,1.00,1.29,1.25,1.20
23,Colorado,1.29,2.33,3.00,1.38,1.20,1.36
24,LA Dodgers,1.30,2.00,1.00,1.48,1.09,1.24
25,Sacramento,1.36,2.67,4.00,1.79,0.96,1.04
25,Arizona,1.36,1.33,1.00,1.08,1.67,1.12
27,Toronto,1.42,0.00,0.00,1.78,0.95,1.28
27,LA Angels,1.42,1.67,3.00,1.63,1.28,1.25
29,Tampa Bay,1.43,2.00,3.00,1.48,1.33,1.21
30,Baltimore,1.58,1.33,1.00,2.17,1.04,1.07
