# Data scraped on: 2025-05-22 02:17:19
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,0.629,0.642,0.861,0.611,0.650,0.698
2,Texas,0.632,0.718,0.698,0.584,0.689,0.719
3,Houston,0.641,0.761,1.076,0.636,0.647,0.688
4,NY Mets,0.645,0.650,0.483,0.588,0.691,0.693
5,Minnesota,0.648,0.670,0.807,0.636,0.658,0.702
6,San Diego,0.658,0.787,0.997,0.582,0.736,0.688
7,Detroit,0.662,0.725,0.373,0.621,0.696,0.661
8,Kansas City,0.664,0.693,0.856,0.628,0.701,0.689
9,St. Louis,0.665,0.652,0.675,0.594,0.730,0.714
10,SF Giants,0.666,0.776,0.945,0.672,0.660,0.708
11,Cincinnati,0.671,0.595,0.738,0.644,0.698,0.715
12,Philadelphia,0.691,0.663,0.831,0.687,0.696,0.705
13,Pittsburgh,0.691,0.603,0.415,0.693,0.689,0.723
14,Seattle,0.701,0.585,0.785,0.702,0.699,0.649
15,Boston,0.703,0.620,0.779,0.711,0.693,0.707
16,Atlanta,0.706,0.811,0.829,0.658,0.750,0.673
17,Milwaukee,0.708,0.681,0.775,0.649,0.771,0.691
18,Tampa Bay,0.717,0.783,0.786,0.721,0.711,0.689
19,Chi Cubs,0.719,0.711,0.512,0.713,0.724,0.692
20,Toronto,0.721,0.538,0.424,0.735,0.703,0.724
21,LA Dodgers,0.724,0.724,0.560,0.737,0.708,0.705
22,Cleveland,0.748,0.729,0.350,0.699,0.790,0.697
23,Chi Sox,0.751,0.652,0.819,0.697,0.802,0.760
24,Arizona,0.753,0.637,0.476,0.726,0.784,0.758
25,Washington,0.764,0.735,0.649,0.762,0.765,0.725
26,Miami,0.784,0.919,0.680,0.741,0.845,0.760
27,LA Angels,0.788,0.824,0.891,0.794,0.783,0.743
28,Sacramento,0.796,0.966,1.257,0.868,0.721,0.737
29,Baltimore,0.827,0.776,0.520,0.909,0.742,0.691
30,Colorado,0.844,1.025,0.965,0.851,0.837,0.823
