# Data scraped on: 2025-05-22 02:17:40
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Mets,3.24,2.00,1.00,2.68,3.68,4.38
2,Kansas City,3.29,2.67,4.00,3.15,3.44,3.92
3,Minnesota,3.45,5.00,5.00,3.22,3.65,4.54
4,Texas,3.48,4.33,4.00,2.85,4.22,4.56
5,Detroit,3.64,5.33,1.00,3.09,4.07,3.93
6,Houston,3.65,4.67,8.00,3.42,3.88,4.03
7,SF Giants,3.76,4.33,8.00,3.50,4.04,4.31
8,NY Yankees,3.77,2.33,3.00,3.65,3.91,4.12
9,San Diego,3.79,7.67,14.00,2.67,4.96,4.12
10,Cincinnati,3.82,1.67,3.00,3.72,3.92,4.28
11,Atlanta,3.94,5.33,5.00,3.50,4.31,3.76
12,St. Louis,4.00,4.67,5.00,3.54,4.42,4.44
13,Tampa Bay,4.04,3.33,4.00,4.06,4.00,4.09
14,Philadelphia,4.16,4.00,5.00,4.56,3.75,4.18
15,Seattle,4.17,2.33,5.00,4.25,4.08,3.75
16,Chi Cubs,4.20,3.33,1.00,4.48,3.96,4.13
17,Pittsburgh,4.22,2.67,1.00,4.36,4.08,4.56
18,Toronto,4.31,1.00,0.00,4.44,4.14,4.59
19,Cleveland,4.35,3.33,1.00,3.68,4.92,3.88
20,Milwaukee,4.38,4.67,8.00,4.00,4.76,3.98
21,Chi Sox,4.42,3.67,6.00,3.92,4.88,5.02
22,LA Dodgers,4.44,4.33,1.00,4.70,4.13,4.25
23,Boston,4.55,2.00,5.00,4.38,4.72,4.61
24,Arizona,5.04,4.00,3.00,4.96,5.13,4.86
25,LA Angels,5.27,4.33,5.00,5.16,5.34,4.92
26,Washington,5.29,4.33,3.00,5.65,4.96,4.72
27,Baltimore,5.58,4.67,4.00,6.61,4.64,4.28
28,Sacramento,5.62,7.00,10.00,6.63,4.69,4.72
29,Miami,5.75,7.67,2.00,5.36,6.30,5.19
30,Colorado,6.55,8.33,9.00,7.83,5.32,5.73
