# Data scraped on: 2025-05-22 02:17:55
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Houston,4.22,4.33,5.00,3.96,4.48,5.09
2,NY Yankees,4.50,4.33,7.00,4.35,4.68,4.92
3,Cincinnati,4.51,5.00,7.00,4.00,5.00,5.03
4,San Diego,4.68,4.67,9.00,4.13,5.26,5.27
5,Atlanta,4.69,5.00,6.00,4.68,4.69,5.34
6,Arizona,4.98,2.67,4.00,5.04,4.92,5.63
7,Pittsburgh,5.00,3.67,3.00,5.36,4.64,5.51
7,LA Dodgers,5.00,5.33,6.00,5.11,4.87,4.95
9,Toronto,5.02,4.67,2.00,4.93,5.14,5.20
10,Texas,5.08,3.33,2.00,5.04,5.13,5.37
11,Chi Sox,5.16,3.67,3.00,5.08,5.23,5.55
11,Detroit,5.16,7.00,5.00,5.50,4.89,5.30
13,Minnesota,5.22,5.67,8.00,5.17,5.27,5.38
14,Kansas City,5.24,4.67,4.00,5.00,5.48,5.26
15,St. Louis,5.30,4.33,5.00,5.00,5.58,5.44
16,Tampa Bay,5.31,6.00,4.00,6.00,4.11,5.28
17,Milwaukee,5.42,6.67,10.00,5.36,5.48,5.39
18,Philadelphia,5.47,5.00,7.00,5.60,5.33,5.41
19,NY Mets,5.50,3.67,5.00,5.23,5.71,5.06
20,SF Giants,5.52,8.00,12.00,6.08,4.92,5.52
21,Chi Cubs,5.60,4.33,5.00,6.00,5.26,5.45
22,Baltimore,5.63,4.67,5.00,6.52,4.80,5.21
23,Cleveland,5.75,5.33,2.00,5.91,5.62,4.55
24,Sacramento,5.76,5.00,5.00,5.88,5.65,5.46
25,Seattle,5.90,4.33,4.00,5.63,6.17,4.55
26,Miami,6.04,9.33,5.00,5.89,6.25,5.60
27,Washington,6.20,4.33,3.00,6.13,6.27,6.00
28,LA Angels,6.38,6.67,8.00,6.74,6.14,5.15
29,Boston,6.57,5.67,7.00,7.08,6.04,5.64
30,Colorado,7.10,10.33,8.00,8.33,5.92,6.51
