# Data scraped on: 2025-05-22 02:18:10
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Kansas City,0.16,0.00,0.00,0.12,0.20,0.37
2,NY Mets,0.42,0.33,0.00,0.55,0.32,0.88
3,Detroit,0.50,0.00,0.00,0.41,0.57,0.59
4,Chi Cubs,0.52,1.00,0.00,0.52,0.52,0.73
5,Milwaukee,0.54,0.67,0.00,0.28,0.80,0.69
6,Toronto,0.54,0.33,0.00,0.56,0.52,0.73
7,San Diego,0.62,0.67,1.00,0.38,0.87,0.63
8,SF Giants,0.64,0.33,1.00,0.81,0.46,0.90
9,Arizona,0.66,0.33,0.00,0.81,0.50,0.67
10,LA Angels,0.69,1.67,1.00,0.53,0.79,0.66
11,St. Louis,0.70,0.00,0.00,0.58,0.81,0.94
12,Baltimore,0.71,2.00,2.00,0.74,0.68,0.76
13,Minnesota,0.71,0.00,0.00,0.57,0.85,0.69
14,Washington,0.73,0.00,0.00,0.57,0.88,0.81
15,Pittsburgh,0.76,0.00,0.00,0.80,0.72,0.95
16,Philadelphia,0.78,1.00,1.00,0.68,0.88,0.68
17,NY Yankees,0.79,0.67,2.00,0.81,0.77,0.75
18,Boston,0.80,1.67,3.00,0.85,0.76,0.61
19,Texas,0.82,0.33,0.00,0.63,1.04,0.86
20,LA Dodgers,0.84,0.33,0.00,0.44,1.30,0.70
21,Seattle,0.85,1.00,1.00,0.67,1.04,0.72
22,Cincinnati,0.88,0.67,0.00,0.96,0.81,0.76
23,Chi Sox,0.92,0.67,2.00,0.83,1.00,0.86
24,Colorado,0.96,0.67,2.00,0.92,1.00,0.87
25,Cleveland,0.98,0.67,0.00,0.86,1.08,0.60
26,Sacramento,1.02,1.33,2.00,1.00,1.04,0.71
27,Tampa Bay,1.08,0.67,0.00,1.23,0.83,0.73
28,Atlanta,1.13,0.67,0.00,0.95,1.27,0.79
29,Houston,1.27,3.33,4.00,0.79,1.72,0.84
30,Miami,1.65,1.33,2.00,1.93,1.25,0.86
