# Data scraped on: 2025-05-22 02:18:25
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,11.00,12.67,19.00,10.35,11.77,13.13
2,NY Mets,11.04,10.67,7.00,10.05,11.82,12.44
3,Texas,11.06,13.00,13.00,10.15,12.13,13.53
4,Houston,11.47,14.33,23.00,11.75,11.20,12.67
5,Minnesota,11.73,11.67,16.00,11.87,11.62,13.59
6,San Diego,11.83,15.33,23.00,10.50,13.22,12.91
7,SF Giants,11.90,15.33,22.00,12.38,11.38,13.07
8,Detroit,12.08,13.67,5.00,11.18,12.79,12.38
9,St. Louis,12.12,11.67,9.00,10.42,13.69,13.70
10,Kansas City,12.22,12.33,18.00,11.73,12.72,12.66
11,Cincinnati,12.43,8.33,11.00,12.04,12.81,13.56
12,Pittsburgh,12.64,10.67,5.00,13.56,11.72,13.62
13,Milwaukee,12.84,14.33,20.00,12.40,13.28,12.96
14,Boston,12.98,9.67,15.00,13.08,12.88,13.60
15,Atlanta,13.02,15.00,12.00,12.23,13.69,12.43
16,Philadelphia,13.12,13.00,17.00,13.32,12.92,13.55
17,Seattle,13.46,11.00,18.00,13.92,13.00,12.32
18,Chi Sox,13.64,11.67,17.00,12.67,14.54,14.31
19,Tampa Bay,13.78,16.00,16.00,14.29,12.89,13.13
20,LA Dodgers,13.78,15.67,10.00,14.81,12.57,13.36
21,Chi Cubs,13.80,13.67,7.00,14.39,13.30,12.96
22,Cleveland,13.94,12.33,4.00,12.82,14.88,13.05
23,Toronto,13.96,9.67,9.00,14.74,12.95,13.72
24,Washington,14.24,16.33,13.00,14.48,14.04,13.88
25,LA Angels,14.88,16.67,20.00,15.79,14.28,13.86
26,Arizona,14.92,12.00,8.00,14.12,15.79,15.00
27,Miami,15.29,20.67,13.00,14.57,16.30,14.68
28,Sacramento,15.76,22.67,32.00,18.92,12.85,13.84
29,Baltimore,16.44,15.00,11.00,19.74,13.40,13.13
30,Colorado,16.82,25.33,22.00,18.42,15.28,16.25
