# Data scraped on: 2025-05-22 02:18:31
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Boston,0.02,0.00,0.00,0.00,0.04,0.09
2,Minnesota,0.02,0.00,0.00,0.00,0.04,0.17
3,Tampa Bay,0.06,0.00,0.00,0.03,0.11,0.11
3,Philadelphia,0.06,0.00,0.00,0.12,0.00,0.13
5,NY Yankees,0.08,0.33,0.00,0.08,0.09,0.14
6,San Diego,0.09,0.00,0.00,0.04,0.13,0.11
7,Texas,0.10,0.33,1.00,0.00,0.22,0.12
7,Milwaukee,0.10,0.33,0.00,0.08,0.12,0.10
9,Houston,0.10,0.00,0.00,0.13,0.08,0.10
10,Seattle,0.10,0.00,0.00,0.04,0.17,0.12
10,Cleveland,0.10,0.33,0.00,0.09,0.12,0.16
10,Toronto,0.10,0.33,1.00,0.04,0.19,0.10
13,Kansas City,0.12,0.33,0.00,0.19,0.04,0.15
13,Cincinnati,0.12,0.00,0.00,0.04,0.19,0.10
15,Detroit,0.12,0.00,0.00,0.05,0.18,0.18
16,Colorado,0.12,0.33,0.00,0.17,0.08,0.23
17,Atlanta,0.13,0.00,0.00,0.09,0.15,0.15
17,LA Angels,0.13,0.00,0.00,0.11,0.14,0.12
19,Arizona,0.14,0.00,0.00,0.15,0.13,0.27
19,NY Mets,0.14,0.33,0.00,0.09,0.18,0.10
21,Sacramento,0.16,0.33,1.00,0.21,0.12,0.11
21,Chi Cubs,0.16,0.67,0.00,0.22,0.11,0.10
23,LA Dodgers,0.18,0.33,0.00,0.22,0.13,0.13
23,St. Louis,0.18,0.00,0.00,0.08,0.27,0.17
23,SF Giants,0.18,0.00,0.00,0.15,0.21,0.18
26,Baltimore,0.19,0.33,0.00,0.17,0.20,0.15
27,Pittsburgh,0.20,0.33,0.00,0.20,0.20,0.18
28,Miami,0.21,0.00,0.00,0.18,0.25,0.20
29,Chi Sox,0.24,0.00,0.00,0.25,0.23,0.14
30,Washington,0.33,0.00,0.00,0.35,0.31,0.17
