# Data scraped on: 2025-05-22 02:18:36
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Minnesota,2.47,3.00,3.00,2.22,2.69,2.67
2,Texas,2.74,3.33,3.00,2.78,2.70,3.27
3,Kansas City,2.75,4.00,6.00,2.46,3.04,2.99
4,Tampa Bay,2.80,1.33,2.00,2.52,3.28,2.75
5,Philadelphia,2.82,2.00,3.00,2.76,2.88,2.78
6,St. Louis,2.90,2.67,6.00,2.71,3.08,2.80
6,Detroit,2.90,2.00,1.00,2.91,2.89,2.54
8,Toronto,2.92,1.33,0.00,2.96,2.86,3.10
9,Cincinnati,3.02,3.00,4.00,3.04,3.00,3.01
10,Chi Cubs,3.02,2.67,4.00,2.61,3.37,2.99
11,SF Giants,3.06,1.00,0.00,2.96,3.17,3.25
12,Houston,3.08,3.67,6.00,3.13,3.04,3.41
13,Boston,3.16,3.33,4.00,3.85,2.44,2.85
14,Seattle,3.19,1.67,2.00,3.17,3.21,2.28
15,Pittsburgh,3.20,2.00,3.00,2.88,3.52,3.18
16,San Diego,3.23,3.33,3.00,2.71,3.78,2.82
17,Atlanta,3.29,3.00,4.00,3.55,3.08,2.76
18,Arizona,3.38,2.67,1.00,3.54,3.21,2.97
19,LA Dodgers,3.44,2.33,1.00,3.22,3.70,3.19
20,Colorado,3.49,3.00,5.00,3.38,3.60,3.48
21,Washington,3.51,1.00,1.00,4.09,3.00,2.92
22,Baltimore,3.52,5.00,3.00,3.70,3.36,2.97
23,NY Mets,3.54,3.00,2.00,3.50,3.57,3.71
24,Milwaukee,3.64,2.67,2.00,2.72,4.56,3.05
25,NY Yankees,3.65,2.33,2.00,4.15,3.05,3.32
26,Cleveland,3.67,3.67,3.00,3.82,3.54,3.12
27,Chi Sox,3.78,4.00,5.00,3.58,3.96,3.97
28,Miami,3.92,2.67,2.00,3.93,3.90,3.43
29,LA Angels,3.94,3.67,6.00,3.68,4.10,3.71
30,Sacramento,3.94,2.00,3.00,4.04,3.85,3.27
