# Data scraped on: 2025-05-22 02:18:46
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Mets,5.5%,7.8%,2.9%,4.8%,6.1%,6.9%
2,Boston,5.8%,4.6%,7.5%,5.3%,6.5%,7.3%
3,Texas,5.9%,8.0%,9.4%,5.1%,6.7%,7.4%
4,NY Yankees,6.3%,7.3%,7.7%,5.8%,6.9%,7.7%
5,SF Giants,6.3%,8.0%,9.1%,6.3%,6.3%,7.3%
6,Detroit,6.4%,7.1%,0.0%,5.1%,7.4%,6.8%
7,Minnesota,6.4%,6.4%,7.5%,6.7%,6.1%,7.6%
8,San Diego,6.8%,9.6%,10.9%,6.2%,7.4%,7.3%
9,Milwaukee,6.8%,6.5%,8.0%,6.4%,7.2%,6.8%
10,Kansas City,7.0%,7.2%,9.8%,6.8%,7.2%,7.4%
11,St. Louis,7.0%,8.2%,5.0%,5.9%,8.0%,8.0%
12,Seattle,7.1%,6.9%,10.8%,7.4%,6.8%,7.5%
13,LA Angels,7.2%,8.2%,6.7%,7.2%,7.2%,8.0%
14,Houston,7.3%,9.1%,12.5%,7.4%,7.2%,7.0%
15,Washington,7.4%,11.8%,12.1%,7.2%,7.6%,7.5%
16,Philadelphia,7.4%,9.0%,10.0%,7.2%,7.7%,7.7%
17,Chi Cubs,7.5%,9.4%,2.9%,7.3%,7.7%,7.0%
18,Tampa Bay,7.5%,8.3%,8.6%,7.0%,8.4%,7.2%
19,Cincinnati,7.7%,4.9%,5.7%,7.5%,7.8%,8.0%
20,Cleveland,7.7%,7.3%,3.0%,6.7%,8.7%,8.3%
21,Pittsburgh,7.9%,9.6%,3.0%,8.0%,7.7%,7.8%
22,LA Dodgers,8.0%,7.8%,2.9%,8.5%,7.4%,7.8%
23,Toronto,8.0%,6.7%,9.1%,8.2%,7.8%,7.8%
24,Atlanta,8.0%,10.2%,5.7%,7.3%,8.7%,6.9%
25,Chi Sox,8.1%,7.0%,9.5%,7.1%,9.0%,8.0%
26,Miami,8.2%,10.3%,8.6%,7.5%,9.4%,8.4%
27,Colorado,8.9%,11.1%,9.1%,8.5%,9.3%,8.7%
28,Sacramento,8.9%,15.1%,21.4%,10.9%,6.8%,8.1%
29,Arizona,9.2%,9.3%,3.3%,8.7%,9.8%,9.0%
30,Baltimore,9.7%,9.2%,4.8%,10.6%,8.8%,7.5%
