# Data scraped on: 2025-05-22 02:19:00
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Mets,1.8%,1.9%,0.0%,1.6%,1.9%,2.8%
2,St. Louis,2.0%,1.8%,0.0%,1.4%,2.6%,2.9%
3,Pittsburgh,2.1%,0.0%,0.0%,2.3%,1.9%,2.7%
4,SF Giants,2.1%,1.8%,2.3%,1.8%,2.5%,2.5%
5,Kansas City,2.4%,2.7%,7.3%,2.1%,2.8%,2.4%
6,Texas,2.4%,6.0%,6.3%,2.0%,3.0%,3.2%
7,NY Yankees,2.4%,3.6%,7.7%,2.2%,2.8%,2.9%
8,Boston,2.5%,0.9%,2.5%,2.2%,2.8%,3.1%
9,Seattle,2.5%,2.9%,8.1%,3.2%,1.8%,3.2%
10,Minnesota,2.5%,1.8%,2.5%,2.4%,2.7%,3.1%
11,Washington,2.6%,4.5%,3.0%,2.8%,2.4%,2.7%
12,Houston,2.6%,4.5%,10.0%,3.1%,2.1%,3.0%
13,Philadelphia,2.7%,1.8%,2.5%,2.7%,2.6%,3.0%
14,Chi Sox,2.9%,3.5%,7.1%,2.6%,3.1%,3.2%
15,Detroit,2.9%,1.8%,0.0%,2.4%,3.3%,2.6%
16,Cleveland,2.9%,1.8%,0.0%,2.3%,3.5%,3.0%
17,San Diego,2.9%,4.3%,4.3%,2.7%,3.2%,2.9%
18,Milwaukee,2.9%,2.4%,2.0%,2.7%,3.1%,3.2%
19,Cincinnati,2.9%,0.0%,0.0%,3.4%,2.5%,3.2%
20,Atlanta,3.1%,3.7%,2.9%,2.5%,3.7%,2.5%
21,Chi Cubs,3.2%,2.8%,0.0%,3.2%,3.1%,3.0%
22,Miami,3.2%,3.2%,2.9%,3.2%,3.2%,3.1%
23,Colorado,3.3%,5.2%,6.8%,3.3%,3.3%,3.5%
24,Sacramento,3.4%,6.7%,9.5%,4.2%,2.6%,2.7%
25,LA Dodgers,3.5%,5.2%,2.9%,3.9%,3.0%,3.3%
26,Arizona,3.5%,3.7%,3.3%,2.8%,4.4%,2.9%
27,LA Angels,3.7%,4.1%,6.7%,4.1%,3.4%,3.3%
28,Toronto,3.8%,0.0%,0.0%,4.7%,2.6%,3.4%
29,Tampa Bay,3.9%,5.5%,8.6%,3.9%,3.7%,3.3%
30,Baltimore,4.1%,3.4%,2.4%,5.3%,2.9%,2.8%
