# Data scraped on: 2025-05-22 02:19:05
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Kansas City,57.1%,--,--,42.9%,71.4%,68.9%
2,NY Mets,58.3%,50.0%,--,75.0%,45.0%,80.2%
3,Toronto,61.9%,100.0%,--,68.2%,55.0%,76.3%
4,SF Giants,62.7%,25.0%,100.0%,60.0%,68.8%,79.8%
5,Milwaukee,62.8%,66.7%,--,53.8%,66.7%,79.7%
6,Philadelphia,71.7%,100.0%,100.0%,68.0%,75.0%,78.5%
7,Washington,72.0%,--,--,72.2%,71.9%,81.5%
8,Minnesota,72.9%,0.0%,--,65.0%,78.6%,83.6%
9,Detroit,73.5%,0.0%,--,60.0%,84.2%,75.2%
10,Chi Sox,75.4%,50.0%,100.0%,64.5%,86.7%,79.0%
11,Cleveland,75.8%,66.7%,0.0%,67.9%,82.4%,79.7%
11,Colorado,75.8%,66.7%,100.0%,73.3%,78.1%,77.9%
13,St. Louis,76.1%,0.0%,--,66.7%,84.0%,84.1%
14,San Diego,76.3%,100.0%,100.0%,60.0%,87.0%,82.3%
15,Boston,77.4%,83.3%,100.0%,78.6%,76.0%,78.6%
16,LA Dodgers,77.8%,100.0%,--,75.0%,78.9%,76.7%
17,Chi Cubs,78.8%,60.0%,--,70.6%,87.5%,79.2%
18,Tampa Bay,79.1%,40.0%,--,76.0%,88.2%,81.0%
19,Pittsburgh,79.2%,0.0%,0.0%,71.4%,90.0%,85.1%
20,Cincinnati,80.4%,66.7%,0.0%,80.0%,80.8%,76.9%
21,Arizona,80.5%,100.0%,--,84.0%,75.0%,81.3%
22,Atlanta,80.6%,40.0%,0.0%,91.3%,75.0%,79.6%
23,Seattle,82.0%,100.0%,100.0%,84.2%,80.6%,74.4%
24,NY Yankees,82.6%,50.0%,66.7%,80.8%,85.0%,77.2%
25,Baltimore,82.9%,100.0%,100.0%,77.3%,89.5%,79.0%
26,Texas,85.4%,50.0%,--,81.0%,88.9%,87.5%
27,LA Angels,86.8%,83.3%,100.0%,76.9%,92.0%,75.9%
28,Sacramento,87.9%,100.0%,100.0%,88.9%,87.1%,75.7%
29,Miami,90.8%,100.0%,100.0%,94.7%,83.3%,75.5%
30,Houston,91.2%,90.9%,80.0%,90.5%,91.5%,78.3%
