# Data scraped on: 2025-05-22 02:19:15
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Minnesota,6.8%,8.3%,7.5%,6.0%,7.5%,7.1%
2,Philadelphia,7.5%,5.4%,7.5%,7.2%,7.8%,7.4%
3,Kansas City,7.5%,10.8%,14.6%,6.7%,8.4%,8.1%
4,Tampa Bay,7.6%,3.7%,5.7%,6.7%,9.2%,7.4%
5,Texas,7.7%,10.0%,9.4%,7.7%,7.7%,8.7%
6,Toronto,7.8%,3.8%,0.0%,7.8%,7.8%,8.3%
7,St. Louis,7.9%,7.3%,15.0%,7.4%,8.3%,7.5%
8,Detroit,7.9%,5.3%,3.0%,7.7%,8.0%,6.9%
9,Chi Cubs,8.0%,7.5%,11.4%,6.7%,9.2%,8.0%
10,Cincinnati,8.2%,8.8%,11.4%,8.3%,8.2%,8.0%
11,Boston,8.2%,9.3%,10.0%,9.6%,6.7%,7.5%
12,Seattle,8.2%,4.9%,5.4%,8.1%,8.3%,6.4%
13,SF Giants,8.3%,2.7%,0.0%,7.8%,8.9%,8.6%
14,Houston,8.6%,10.0%,15.0%,8.6%,8.6%,9.1%
15,Pittsburgh,8.6%,5.8%,9.1%,7.4%,9.9%,8.4%
16,Arizona,8.8%,7.5%,3.3%,9.1%,8.4%,7.8%
17,Colorado,8.8%,6.7%,11.4%,8.0%,9.8%,8.9%
18,San Diego,8.9%,8.7%,6.5%,7.6%,10.2%,7.6%
19,Atlanta,9.0%,8.3%,11.4%,9.3%,8.6%,7.5%
20,Washington,9.1%,2.7%,3.0%,10.2%,8.0%,7.7%
21,LA Dodgers,9.2%,6.0%,2.9%,8.4%,10.2%,8.5%
22,Baltimore,9.2%,12.6%,7.1%,9.0%,9.3%,7.9%
23,NY Mets,9.5%,8.7%,5.7%,9.4%,9.7%,9.8%
24,Cleveland,9.7%,10.0%,9.1%,10.0%,9.4%,8.5%
25,Milwaukee,9.7%,6.5%,4.0%,7.2%,12.2%,8.2%
26,Sacramento,9.9%,5.0%,7.1%,9.5%,10.2%,8.6%
27,NY Yankees,9.9%,6.4%,5.1%,11.1%,8.4%,8.8%
28,Miami,9.9%,6.3%,5.7%,9.9%,10.0%,8.9%
29,Chi Sox,10.1%,10.5%,11.9%,9.5%,10.6%,10.3%
30,LA Angels,10.2%,9.0%,13.3%,9.3%,10.8%,9.8%
