# Data scraped on: 2025-05-22 02:19:19
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Boston,0.47,0.67,1.00,0.42,0.52,0.77
2,Milwaukee,0.52,0.00,0.00,0.36,0.68,0.70
2,Chi Cubs,0.52,0.67,1.00,0.61,0.44,0.65
4,Kansas City,0.63,0.67,0.00,0.62,0.64,0.67
5,Washington,0.63,0.33,1.00,0.57,0.69,0.80
6,NY Yankees,0.65,0.33,0.00,0.42,0.91,0.94
6,Miami,0.65,1.00,2.00,0.64,0.65,0.83
8,Minnesota,0.65,0.67,0.00,0.83,0.50,0.81
9,Cleveland,0.67,0.33,1.00,0.41,0.88,0.81
10,SF Giants,0.68,1.33,0.00,0.85,0.50,0.76
10,Detroit,0.68,1.00,1.00,0.59,0.75,0.64
12,Seattle,0.69,0.67,0.00,0.63,0.75,0.76
12,LA Angels,0.69,0.67,1.00,0.42,0.86,0.86
14,Texas,0.70,0.33,0.00,0.85,0.52,0.64
15,Atlanta,0.71,2.00,2.00,0.27,1.08,0.77
16,Colorado,0.71,0.00,0.00,0.75,0.68,0.85
17,Chi Sox,0.74,0.67,1.00,0.58,0.88,0.80
18,Cincinnati,0.76,1.00,0.00,0.88,0.65,0.67
19,Philadelphia,0.80,0.33,0.00,0.76,0.83,0.77
20,LA Dodgers,0.80,0.33,0.00,0.93,0.65,0.71
21,Arizona,0.82,0.33,1.00,1.08,0.54,0.81
22,St. Louis,0.86,0.33,1.00,0.96,0.77,0.68
23,San Diego,0.87,1.00,0.00,1.00,0.74,0.95
24,Baltimore,0.88,0.33,0.00,0.91,0.84,0.53
25,Houston,0.88,1.33,2.00,1.00,0.76,0.90
26,Tampa Bay,0.92,0.67,0.00,1.03,0.72,0.67
27,NY Mets,0.96,1.33,0.00,0.73,1.14,0.73
28,Toronto,0.98,0.67,0.00,0.93,1.05,0.85
29,Pittsburgh,1.04,1.67,1.00,1.20,0.88,0.69
29,Sacramento,1.04,1.33,1.00,1.04,1.04,0.70
