# Data scraped on: 2025-05-22 02:19:31
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Dodgers,5.53,3.71,3.38,6.22,4.78,4.98
2,NY Yankees,5.51,4.07,4.32,5.78,5.23,4.69
3,Chi Cubs,5.33,7.33,1.00,5.08,5.53,4.25
4,Detroit,4.94,4.00,5.00,5.40,4.61,3.79
5,Arizona,4.93,3.86,1.00,4.99,4.87,5.18
6,Philadelphia,4.72,7.67,8.00,5.25,4.22,4.44
7,St. Louis,4.50,5.19,1.00,4.78,4.26,3.79
8,Boston,4.37,2.16,1.00,4.49,4.25,4.28
9,SF Giants,4.32,2.42,4.00,4.27,4.38,3.91
10,Seattle,4.29,3.67,6.00,4.14,4.42,3.83
11,Cincinnati,4.24,2.33,1.00,4.00,4.46,3.92
12,NY Mets,4.12,2.00,5.00,4.21,4.06,4.41
13,Sacramento,4.03,4.00,4.00,4.07,3.99,3.77
14,Minnesota,3.97,3.04,1.00,4.47,3.56,4.19
15,LA Angels,3.97,7.00,10.00,3.82,4.06,3.56
16,Washington,3.96,8.65,5.63,4.36,3.62,3.79
17,Cleveland,3.91,3.67,5.00,3.40,4.31,4.03
18,San Diego,3.87,0.33,0.00,4.07,3.68,4.36
19,Atlanta,3.80,6.33,3.00,4.33,3.38,3.99
20,Houston,3.76,3.33,4.00,4.48,3.13,4.21
21,Toronto,3.70,4.68,9.00,4.06,3.26,3.84
22,Tampa Bay,3.65,4.91,9.00,3.81,3.38,3.46
23,Milwaukee,3.65,4.33,2.45,3.36,3.92,4.48
24,Miami,3.63,3.38,1.00,3.87,3.31,3.56
25,Baltimore,3.63,3.72,4.91,4.23,3.09,4.52
26,Texas,3.45,2.67,3.00,3.69,3.17,3.93
27,Colorado,3.33,4.00,5.00,4.33,2.38,3.94
28,Kansas City,3.07,3.00,5.00,2.98,3.16,4.24
29,Chi Sox,2.95,2.08,4.00,3.44,2.53,2.82
30,Pittsburgh,2.63,1.80,3.38,2.93,2.33,3.83
