# Data scraped on: 2025-05-22 02:19:36
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Dodgers,5.38,3.67,3.00,5.85,4.83,4.88
2,NY Yankees,5.33,3.67,4.00,5.31,5.36,4.63
3,Chi Cubs,5.24,7.33,1.00,4.87,5.56,4.17
4,Arizona,4.88,4.00,1.00,4.81,4.96,5.10
5,Detroit,4.82,4.00,5.00,5.05,4.64,3.74
6,Philadelphia,4.63,7.67,8.00,4.92,4.33,4.36
7,St. Louis,4.42,5.00,1.00,4.50,4.35,3.74
8,Boston,4.35,2.00,1.00,4.35,4.36,4.27
9,Seattle,4.29,3.67,6.00,4.00,4.58,3.75
10,SF Giants,4.22,2.33,4.00,4.08,4.38,3.85
11,Cincinnati,4.18,2.33,1.00,3.80,4.54,3.85
12,NY Mets,4.02,2.00,5.00,3.91,4.11,4.34
12,Sacramento,4.02,4.00,4.00,4.00,4.04,3.74
14,LA Angels,3.92,7.00,10.00,3.63,4.10,3.54
15,Washington,3.88,8.33,5.00,4.17,3.62,3.74
16,Minnesota,3.86,3.00,1.00,4.17,3.58,4.14
17,Cleveland,3.81,3.67,5.00,3.18,4.35,3.95
18,Atlanta,3.75,6.33,3.00,4.14,3.42,3.93
19,San Diego,3.74,0.33,0.00,3.79,3.70,4.27
20,Houston,3.65,3.33,4.00,4.17,3.16,4.13
21,Toronto,3.65,4.33,8.00,3.89,3.33,3.77
22,Miami,3.60,3.33,1.00,3.79,3.35,3.57
23,Tampa Bay,3.59,4.67,8.00,3.68,3.44,3.43
24,Baltimore,3.58,4.00,6.00,4.09,3.12,4.44
25,Milwaukee,3.56,4.33,3.00,3.20,3.92,4.41
26,Colorado,3.33,4.00,5.00,4.29,2.40,3.91
27,Texas,3.32,2.67,3.00,3.44,3.17,3.86
28,Kansas City,3.02,3.00,5.00,2.85,3.20,4.14
29,Chi Sox,2.88,2.00,4.00,3.25,2.54,2.81
30,Pittsburgh,2.64,1.67,3.00,2.92,2.36,3.79
