# Data scraped on: 2025-05-22 02:19:41
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Dodgers,9.34,6.08,5.63,10.08,8.53,8.88
2,Philadelphia,9.28,15.33,12.00,9.57,9.00,8.89
3,Chi Cubs,9.26,13.67,8.00,8.94,9.52,8.30
4,NY Yankees,9.15,7.77,5.40,8.58,9.75,8.40
5,St. Louis,9.14,10.04,5.00,10.22,8.21,8.52
6,Detroit,9.04,7.33,7.00,9.15,8.96,7.93
7,San Diego,8.82,5.67,5.00,8.69,8.96,9.11
8,Boston,8.74,6.84,6.00,8.83,8.65,8.70
9,Arizona,8.70,8.04,7.00,8.97,8.43,9.10
10,Sacramento,8.69,10.00,11.00,9.16,8.28,7.88
11,Toronto,8.51,8.64,15.75,8.54,8.49,8.20
12,Atlanta,8.47,12.00,7.00,9.38,7.75,8.34
13,Miami,8.46,7.76,6.00,8.76,8.06,8.30
14,Houston,8.37,9.00,7.00,9.27,7.57,9.11
15,Kansas City,8.35,11.00,16.00,8.53,8.17,8.47
16,NY Mets,8.34,7.33,10.00,8.85,7.98,8.51
17,Minnesota,8.32,7.09,3.00,8.80,7.93,8.45
18,Tampa Bay,8.23,8.06,11.25,8.25,8.18,7.75
19,Cincinnati,8.20,7.00,4.00,8.07,8.32,7.74
20,Washington,8.17,11.08,9.00,8.77,7.65,8.16
21,SF Giants,8.01,7.62,8.00,8.81,7.18,8.16
22,Seattle,7.95,6.33,7.00,6.94,8.88,7.52
23,Baltimore,7.86,8.69,11.45,8.37,7.41,8.70
24,Cleveland,7.80,9.33,11.00,7.19,8.28,8.03
25,Milwaukee,7.72,8.33,5.73,7.31,8.12,8.54
26,Texas,7.70,8.33,10.00,7.62,7.78,8.18
27,LA Angels,7.53,11.00,14.00,7.36,7.64,7.62
28,Colorado,7.24,8.33,11.00,8.24,6.30,8.21
29,Chi Sox,7.17,6.92,8.00,7.05,7.28,7.33
30,Pittsburgh,7.13,7.20,10.13,7.51,6.75,8.00
