# Data scraped on: 2025-05-22 02:19:46
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,1.79,1.85,2.16,2.05,1.51,1.49
2,LA Dodgers,1.67,1.35,1.13,1.85,1.46,1.49
3,LA Angels,1.54,2.67,4.00,1.49,1.57,1.03
4,Arizona,1.41,1.93,1.00,1.36,1.47,1.32
5,Chi Cubs,1.40,1.33,1.00,1.09,1.66,1.07
6,Seattle,1.37,1.33,3.00,1.29,1.45,1.16
7,Detroit,1.27,0.67,0.00,1.22,1.31,0.99
8,Sacramento,1.26,1.67,3.00,1.14,1.37,1.22
9,Boston,1.22,0.72,0.00,1.07,1.36,1.20
10,Baltimore,1.18,0.93,0.82,1.62,0.79,1.46
11,Cleveland,1.13,0.67,1.00,0.92,1.30,1.16
12,Texas,1.12,1.33,3.00,0.95,1.30,1.11
13,Philadelphia,1.10,2.33,3.00,1.15,1.05,1.23
14,NY Mets,1.09,0.33,1.00,1.37,0.88,1.28
15,SF Giants,1.09,1.04,3.00,0.97,1.21,1.11
16,Atlanta,1.08,1.67,1.00,1.10,1.06,1.33
17,Washington,1.06,2.08,1.13,1.18,0.96,0.84
18,Cincinnati,1.06,0.00,0.00,1.18,0.95,1.09
19,St. Louis,0.96,0.69,0.00,1.02,0.90,1.03
20,Houston,0.95,2.00,3.00,0.94,0.95,1.19
21,Minnesota,0.95,0.34,0.00,0.79,1.07,1.14
22,Miami,0.94,1.01,0.00,0.77,1.19,0.92
23,Toronto,0.93,1.44,2.25,1.20,0.61,0.98
24,Tampa Bay,0.91,1.75,4.50,1.00,0.76,0.92
25,San Diego,0.90,0.33,0.00,0.94,0.87,1.21
26,Colorado,0.88,0.67,1.00,1.05,0.71,1.11
27,Milwaukee,0.84,1.33,0.82,0.80,0.88,1.12
28,Chi Sox,0.82,1.04,3.00,0.97,0.69,0.82
29,Pittsburgh,0.66,0.00,0.00,0.56,0.75,1.00
30,Kansas City,0.64,0.67,1.00,0.36,0.91,1.05
