# Data scraped on: 2025-05-22 02:19:50
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Texas,26.02,27.00,27.00,25.19,27.00,26.54
2,San Diego,26.11,27.00,27.00,25.13,27.13,26.44
3,NY Yankees,26.13,24.33,25.00,24.81,27.68,26.64
4,Houston,26.20,27.00,27.00,25.13,27.24,26.55
5,Minnesota,26.22,26.67,27.00,25.22,27.12,26.65
6,LA Dodgers,26.26,26.67,24.00,25.41,27.26,26.46
7,Cleveland,26.33,27.00,27.00,25.27,27.23,26.47
8,Detroit,26.34,27.00,27.00,25.23,27.21,26.66
8,NY Mets,26.34,27.00,27.00,25.09,27.32,26.58
10,Chi Sox,26.36,26.00,27.00,25.54,27.12,26.98
10,SF Giants,26.36,26.00,27.00,25.81,26.96,26.61
10,Milwaukee,26.36,27.00,33.00,25.72,27.00,26.54
13,Washington,26.45,26.00,24.00,25.83,27.00,26.67
14,Philadelphia,26.49,27.00,27.00,25.28,27.75,26.48
15,Chi Cubs,26.54,27.00,27.00,25.87,27.11,26.48
15,St. Louis,26.54,26.00,27.00,25.42,27.58,26.65
17,Kansas City,26.57,27.00,27.00,25.81,27.36,26.37
18,Cincinnati,26.59,27.00,27.00,25.68,27.46,26.50
19,Tampa Bay,26.59,25.67,24.00,26.06,27.50,26.70
20,Atlanta,26.63,27.00,27.00,25.77,27.35,26.58
20,Toronto,26.63,25.00,24.00,25.89,27.57,26.54
22,LA Angels,26.67,27.00,27.00,25.68,27.31,26.83
23,Baltimore,26.69,29.00,33.00,26.09,27.24,26.54
24,Arizona,26.74,28.00,27.00,26.04,27.50,26.58
25,Miami,26.79,26.67,27.00,26.43,27.30,27.04
26,Boston,26.90,25.00,27.00,26.12,27.72,26.89
27,Sacramento,26.96,27.00,27.00,26.54,27.35,26.81
28,Colorado,27.00,27.00,27.00,26.75,27.24,26.78
29,Seattle,27.04,27.00,27.00,26.08,28.00,26.49
30,Pittsburgh,27.12,25.00,24.00,26.88,27.36,26.73
