# Data scraped on: 2025-05-22 02:19:57
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Boston,0,0,0,0,0,7
2,Arizona,1,0,0,1,0,7
2,NY Yankees,1,0,0,0,1,8
4,Chi Cubs,2,0,0,0,2,16
4,Detroit,2,0,0,1,1,16
4,Seattle,2,1,0,1,1,9
4,St. Louis,2,0,0,1,1,6
4,Sacramento,2,0,0,1,1,15
4,Cleveland,2,0,0,1,1,17
4,Toronto,2,0,0,0,2,9
11,LA Angels,3,0,0,1,2,10
11,Washington,3,0,0,2,1,18
11,LA Dodgers,3,0,0,2,1,5
11,Houston,3,0,0,0,3,8
11,Atlanta,3,0,0,1,2,12
11,Minnesota,3,0,0,2,1,10
11,NY Mets,3,1,0,2,1,15
18,SF Giants,4,0,0,3,1,8
18,Philadelphia,4,0,0,0,4,5
18,San Diego,4,2,1,1,3,11
18,Miami,4,0,0,1,3,12
22,Chi Sox,5,0,0,2,3,19
22,Texas,5,0,0,3,2,10
22,Kansas City,5,0,0,2,3,8
25,Milwaukee,6,0,0,3,3,9
25,Baltimore,6,0,0,3,3,9
25,Tampa Bay,6,0,0,5,1,8
28,Colorado,7,0,0,1,6,15
29,Pittsburgh,8,0,0,4,4,12
29,Cincinnati,8,1,0,3,5,16
