# Data scraped on: 2025-05-22 02:20:02
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Kansas City,7.05,7.33,5.00,6.60,7.50,7.37
2,San Diego,7.17,7.67,10.00,6.90,7.44,6.77
3,Sacramento,7.47,6.67,8.00,7.21,7.71,9.34
4,Toronto,7.54,8.64,7.88,7.49,7.60,7.74
5,Arizona,7.67,9.32,11.00,6.42,8.96,7.93
6,St. Louis,7.75,7.62,9.00,7.26,8.17,8.24
7,NY Mets,7.79,7.00,7.00,7.83,7.76,8.70
8,Philadelphia,7.90,5.00,3.00,7.60,8.19,8.65
9,Cleveland,7.99,7.33,6.00,8.84,7.32,7.66
10,Houston,8.05,9.33,12.00,8.42,7.73,7.43
11,Chi Cubs,8.10,8.00,8.00,7.85,8.30,8.57
12,Washington,8.15,8.65,4.50,8.36,7.96,7.62
13,Texas,8.26,11.67,11.00,7.78,8.78,8.06
14,Milwaukee,8.34,7.00,6.55,8.65,8.04,9.13
15,Minnesota,8.40,8.10,7.00,8.98,7.93,8.17
16,LA Dodgers,8.41,6.08,10.13,7.56,9.34,8.36
17,Atlanta,8.47,6.33,4.00,8.67,8.32,9.19
18,Miami,8.48,5.74,3.00,8.39,8.60,8.69
19,Tampa Bay,8.60,7.71,9.00,8.29,9.11,9.27
20,Pittsburgh,8.62,6.84,7.88,8.40,8.84,9.39
21,Chi Sox,8.67,9.00,10.00,8.63,8.69,8.67
22,SF Giants,8.73,7.62,7.00,7.44,10.06,9.09
23,Seattle,8.80,6.33,8.00,9.49,8.16,10.22
24,Detroit,8.92,8.00,7.00,8.85,8.96,9.24
25,Baltimore,9.06,9.93,8.18,9.18,8.96,8.57
26,Cincinnati,9.10,7.67,8.00,8.58,9.57,9.18
27,Boston,9.15,10.08,16.00,8.55,9.74,9.73
28,NY Yankees,9.22,8.51,10.80,8.37,10.11,8.33
29,Colorado,9.80,9.00,7.00,9.50,10.07,10.06
30,LA Angels,9.91,10.00,8.00,10.46,9.58,8.80
