# Data scraped on: 2025-05-22 02:20:08
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Arizona,1.99,4.14,11.00,1.58,2.46,2.22
2,Philadelphia,2.07,1.67,0.60,1.96,2.17,2.65
3,NY Mets,2.09,2.10,1.75,2.22,2.00,2.63
4,Chi Cubs,2.09,3.00,4.00,1.82,2.37,2.49
5,NY Yankees,2.16,1.64,3.33,1.80,2.62,1.93
6,LA Dodgers,2.18,2.25,9.00,1.78,2.71,2.16
7,Seattle,2.21,1.58,1.60,2.65,1.88,2.85
8,San Diego,2.25,7.67,--,1.79,2.92,2.37
9,St. Louis,2.28,3.67,9.00,2.02,2.52,2.76
10,Toronto,2.35,2.67,2.33,2.34,2.36,2.42
11,Milwaukee,2.37,1.40,2.67,2.51,2.23,2.46
12,SF Giants,2.41,1.83,1.17,2.01,2.84,2.95
13,Cleveland,2.43,2.44,2.00,2.60,2.29,2.56
14,Atlanta,2.48,1.46,4.00,2.80,2.26,3.05
15,Houston,2.49,7.00,6.00,2.21,2.83,2.63
16,Pittsburgh,2.50,2.11,1.75,2.32,2.70,3.11
17,Sacramento,2.50,1.82,1.33,2.33,2.67,3.05
18,Detroit,2.57,3.00,1.17,2.14,3.01,3.04
19,Cincinnati,2.61,3.83,2.67,2.83,2.46,2.94
20,Washington,2.68,3.57,1.00,2.88,2.52,2.68
21,Boston,2.74,3.11,8.00,2.39,3.13,3.18
22,Tampa Bay,2.77,2.00,1.33,2.36,3.71,3.01
23,Miami,2.79,2.13,0.75,2.56,3.16,3.50
24,Chi Sox,2.80,5.20,5.00,2.61,2.99,3.55
25,Minnesota,2.84,2.18,2.33,2.64,3.04,2.76
26,Kansas City,2.85,7.33,--,2.83,2.88,2.74
27,Texas,3.13,5.83,5.50,2.68,3.74,2.62
28,Baltimore,3.21,4.00,5.00,3.29,3.14,2.80
29,Colorado,3.43,4.50,2.33,3.01,3.91,3.57
30,LA Angels,3.88,5.00,2.67,4.30,3.65,2.94
