# Data scraped on: 2025-05-22 02:20:13
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,4.26,5.18,3.24,4.65,3.86,4.31
2,Seattle,3.97,4.00,5.00,3.58,4.34,3.59
3,LA Dodgers,3.87,2.70,1.13,4.25,3.44,3.88
4,Chi Cubs,3.87,2.67,2.00,4.31,3.50,3.44
5,Arizona,3.86,2.25,1.00,4.07,3.64,3.57
6,Philadelphia,3.83,3.00,5.00,3.89,3.77,3.26
7,NY Mets,3.73,3.33,4.00,3.52,3.88,3.31
8,SF Giants,3.63,4.15,6.00,3.70,3.55,3.08
9,Milwaukee,3.52,5.00,2.45,3.44,3.60,3.71
10,Cincinnati,3.48,2.00,3.00,3.03,3.89,3.12
11,Detroit,3.46,2.67,6.00,4.14,2.98,3.04
12,Pittsburgh,3.44,3.24,4.50,3.62,3.28,3.02
13,Atlanta,3.42,4.33,1.00,3.10,3.68,3.01
14,St. Louis,3.40,2.08,1.00,3.59,3.24,2.99
15,Boston,3.35,3.24,2.00,3.58,3.12,3.06
16,Cleveland,3.29,3.00,3.00,3.40,3.20,2.99
17,Houston,3.24,1.33,2.00,3.81,2.74,2.83
18,Toronto,3.21,3.24,3.38,3.21,3.22,3.20
19,San Diego,3.19,1.00,0.00,3.85,2.55,2.85
20,Tampa Bay,3.11,3.86,6.75,3.51,2.45,3.08
21,Chi Sox,3.09,1.73,2.00,3.30,2.91,2.44
22,Miami,3.04,2.70,4.00,3.28,2.72,2.48
23,Washington,3.04,2.42,4.50,2.91,3.15,2.85
24,Sacramento,2.98,3.67,6.00,3.09,2.89,3.06
25,Minnesota,2.96,3.71,3.00,3.40,2.60,2.96
26,Colorado,2.86,2.00,3.00,3.15,2.58,2.82
27,Baltimore,2.82,2.48,1.64,2.79,2.85,3.06
28,Texas,2.64,2.00,2.00,2.90,2.35,3.08
29,LA Angels,2.55,2.00,3.00,2.43,2.63,2.99
30,Kansas City,2.47,1.00,0.00,2.33,2.61,2.69
