# Data scraped on: 2025-05-22 02:20:29
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Dodgers,0.86,0.00,0.00,1.07,0.61,0.65
2,Philadelphia,0.80,1.67,2.00,1.20,0.38,0.63
3,San Diego,0.74,0.33,0.00,0.67,0.83,0.60
4,Washington,0.71,3.33,3.00,0.96,0.50,0.41
5,Cincinnati,0.71,0.33,0.00,0.64,0.77,0.44
6,NY Yankees,0.69,0.67,0.00,0.69,0.68,0.64
7,LA Angels,0.67,0.33,0.00,0.68,0.66,0.38
8,Chi Sox,0.64,0.00,0.00,0.67,0.62,0.35
9,Sacramento,0.60,0.67,0.00,0.83,0.38,0.44
9,Detroit,0.60,0.67,0.00,0.45,0.71,0.43
11,Boston,0.59,0.67,0.00,0.69,0.48,0.54
12,Seattle,0.58,1.00,3.00,0.46,0.71,0.58
13,Chi Cubs,0.58,0.67,1.00,0.65,0.52,0.49
14,Arizona,0.54,0.67,0.00,0.54,0.54,0.77
15,Texas,0.50,0.00,0.00,0.52,0.48,0.51
16,Minnesota,0.49,0.33,0.00,0.61,0.38,0.44
17,SF Giants,0.44,0.00,0.00,0.23,0.67,0.41
18,Atlanta,0.42,1.67,0.00,0.32,0.50,0.52
19,Colorado,0.41,0.67,1.00,0.58,0.24,0.48
19,Tampa Bay,0.41,0.67,2.00,0.58,0.11,0.42
21,Milwaukee,0.40,0.00,0.00,0.36,0.44,0.48
22,Miami,0.38,1.00,1.00,0.39,0.35,0.61
22,Baltimore,0.38,0.00,0.00,0.39,0.36,0.52
24,Kansas City,0.37,0.33,1.00,0.38,0.36,0.43
25,Cleveland,0.35,0.33,0.00,0.50,0.23,0.49
26,Pittsburgh,0.34,0.67,1.00,0.32,0.36,0.38
27,Toronto,0.33,0.33,0.00,0.33,0.33,0.56
28,NY Mets,0.32,0.00,0.00,0.36,0.29,0.42
28,St. Louis,0.32,0.33,0.00,0.21,0.42,0.46
30,Houston,0.22,0.67,2.00,0.21,0.24,0.44
