# Data scraped on: 2025-05-22 02:20:33
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Chi Cubs,0.88,0.00,0.00,1.13,0.67,0.56
2,Washington,0.59,2.67,1.00,0.61,0.58,0.40
3,NY Mets,0.58,0.33,1.00,0.68,0.50,0.49
3,Detroit,0.58,0.33,1.00,0.59,0.57,0.56
5,Boston,0.57,0.33,0.00,0.46,0.68,0.46
6,SF Giants,0.56,0.00,0.00,0.46,0.67,0.48
7,Houston,0.55,1.33,0.00,0.63,0.48,0.36
8,Seattle,0.52,0.00,0.00,0.67,0.38,0.44
9,Arizona,0.52,0.33,0.00,0.54,0.50,0.54
10,Baltimore,0.48,0.33,0.00,0.61,0.36,0.56
10,NY Yankees,0.48,0.67,1.00,0.38,0.59,0.45
12,Atlanta,0.44,1.00,3.00,0.23,0.62,0.46
13,St. Louis,0.42,0.00,0.00,0.46,0.38,0.40
13,Chi Sox,0.42,0.00,0.00,0.63,0.23,0.27
13,LA Dodgers,0.42,0.00,0.00,0.48,0.35,0.47
16,Cincinnati,0.39,0.00,0.00,0.48,0.31,0.41
17,Colorado,0.37,0.33,1.00,0.63,0.12,0.54
18,Milwaukee,0.36,1.00,0.00,0.36,0.36,0.58
19,LA Angels,0.35,0.67,2.00,0.42,0.31,0.40
20,Kansas City,0.35,0.67,2.00,0.15,0.56,0.42
21,Minnesota,0.35,0.33,0.00,0.26,0.42,0.60
22,San Diego,0.34,0.00,0.00,0.29,0.39,0.54
23,Sacramento,0.34,1.33,3.00,0.42,0.27,0.36
24,Texas,0.32,0.00,0.00,0.37,0.26,0.40
25,Philadelphia,0.29,0.00,0.00,0.36,0.21,0.43
26,Tampa Bay,0.24,0.00,0.00,0.19,0.33,0.41
27,Toronto,0.23,0.00,0.00,0.30,0.14,0.52
28,Pittsburgh,0.20,0.00,0.00,0.16,0.24,0.43
29,Miami,0.19,0.00,0.00,0.21,0.15,0.43
30,Cleveland,0.17,0.00,0.00,0.14,0.19,0.47
