# Data scraped on: 2025-05-22 02:20:38
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Detroit,1.06,0.67,0.00,1.18,0.96,0.36
2,Cincinnati,0.84,0.33,1.00,0.72,0.96,0.60
3,St. Louis,0.74,0.00,0.00,0.75,0.73,0.56
4,LA Dodgers,0.72,0.00,0.00,0.81,0.61,0.71
5,NY Yankees,0.71,0.00,0.00,1.00,0.36,0.60
6,Atlanta,0.67,1.00,0.00,0.86,0.50,0.55
6,Boston,0.67,0.00,0.00,0.77,0.56,0.51
8,Milwaukee,0.66,0.33,0.00,0.76,0.56,0.53
9,Baltimore,0.65,0.00,0.00,0.96,0.36,0.59
10,Tampa Bay,0.61,0.00,0.00,0.55,0.72,0.45
11,Colorado,0.57,0.33,0.00,0.63,0.52,0.44
12,San Diego,0.53,0.00,0.00,0.63,0.43,0.35
13,Philadelphia,0.53,1.33,4.00,0.64,0.42,0.49
14,Toronto,0.52,0.00,0.00,0.52,0.52,0.56
15,Texas,0.52,0.00,0.00,0.67,0.35,0.43
16,Minnesota,0.49,0.33,1.00,0.74,0.27,0.52
17,NY Mets,0.48,0.33,0.00,0.59,0.39,0.52
18,Arizona,0.46,1.33,0.00,0.27,0.67,0.72
18,Sacramento,0.46,0.00,0.00,0.67,0.27,0.59
20,Cleveland,0.46,0.00,0.00,0.36,0.54,0.47
21,LA Angels,0.44,1.67,2.00,0.32,0.52,0.44
22,Seattle,0.42,0.33,0.00,0.46,0.38,0.36
23,Houston,0.37,0.33,0.00,0.50,0.24,0.56
24,SF Giants,0.32,0.33,1.00,0.38,0.25,0.44
25,Kansas City,0.31,0.33,0.00,0.35,0.28,0.51
26,Chi Cubs,0.30,0.00,0.00,0.35,0.26,0.48
27,Pittsburgh,0.24,0.00,0.00,0.36,0.12,0.36
28,Washington,0.20,0.00,0.00,0.39,0.04,0.52
29,Miami,0.17,0.33,0.00,0.29,0.00,0.35
30,Chi Sox,0.16,0.67,1.00,0.25,0.08,0.41
