# Data scraped on: 2025-05-22 02:21:02
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Arizona,0.90,0.67,0.00,0.92,0.88,0.50
2,Atlanta,0.81,1.00,0.00,0.95,0.69,0.58
3,NY Mets,0.70,0.00,0.00,0.73,0.68,0.61
4,Philadelphia,0.69,1.33,0.00,0.52,0.88,0.50
5,Toronto,0.69,2.33,7.00,0.85,0.48,0.36
6,LA Dodgers,0.66,0.00,0.00,0.89,0.39,0.62
7,NY Yankees,0.65,3.00,1.00,0.69,0.59,0.52
8,Chi Cubs,0.64,0.33,1.00,0.74,0.56,0.41
9,San Diego,0.60,0.00,0.00,0.58,0.61,0.64
10,St. Louis,0.58,0.00,0.00,0.58,0.58,0.49
11,Houston,0.53,0.67,2.00,0.58,0.48,0.49
11,Colorado,0.53,0.00,0.00,0.88,0.20,0.56
13,Kansas City,0.53,1.00,0.00,0.65,0.40,0.43
14,Cincinnati,0.51,0.67,0.00,0.36,0.65,0.28
15,Seattle,0.50,2.00,2.00,0.58,0.42,0.43
16,Baltimore,0.48,0.67,2.00,0.70,0.28,0.58
17,Washington,0.47,0.33,0.00,0.52,0.42,0.39
18,Detroit,0.46,1.00,2.00,0.23,0.64,0.47
19,Boston,0.45,0.00,0.00,0.62,0.28,0.51
20,Cleveland,0.42,0.33,1.00,0.50,0.35,0.51
20,Miami,0.42,0.00,0.00,0.36,0.50,0.29
22,SF Giants,0.40,0.33,0.00,0.50,0.29,0.62
23,LA Angels,0.38,0.67,2.00,0.42,0.34,0.36
24,Tampa Bay,0.37,1.67,3.00,0.42,0.28,0.40
25,Chi Sox,0.36,0.00,0.00,0.54,0.19,0.35
26,Minnesota,0.33,0.33,0.00,0.30,0.35,0.49
27,Milwaukee,0.32,1.00,0.00,0.28,0.36,0.55
28,Sacramento,0.30,0.00,0.00,0.38,0.23,0.35
29,Texas,0.22,0.00,0.00,0.30,0.13,0.54
30,Pittsburgh,0.20,0.33,1.00,0.32,0.08,0.36
