# Data scraped on: 2025-05-22 02:21:11
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,SF Giants,0.30,0.00,0.00,0.19,0.42,0.15
2,Seattle,0.25,0.00,0.00,0.04,0.46,0.12
3,Philadelphia,0.22,0.00,0.00,0.04,0.42,0.08
4,LA Dodgers,0.20,1.00,0.00,0.37,0.00,0.19
5,LA Angels,0.17,0.00,0.00,0.00,0.28,0.06
6,Tampa Bay,0.16,0.00,0.00,0.10,0.28,0.12
7,Arizona,0.16,0.67,0.00,0.04,0.29,0.11
7,Detroit,0.16,0.00,0.00,0.18,0.14,0.20
9,Boston,0.16,0.00,0.00,0.15,0.16,0.20
10,Atlanta,0.15,0.00,0.00,0.23,0.08,0.11
10,Miami,0.15,0.00,0.00,0.14,0.15,0.13
12,Sacramento,0.14,0.00,0.00,0.17,0.12,0.14
13,Cleveland,0.13,0.00,0.00,0.09,0.15,0.16
14,St. Louis,0.12,0.00,0.00,0.21,0.04,0.14
15,Toronto,0.10,0.00,0.00,0.07,0.14,0.08
15,Baltimore,0.10,1.67,5.00,0.00,0.20,0.10
17,Chi Sox,0.10,0.00,0.00,0.00,0.19,0.06
18,Kansas City,0.10,0.00,0.00,0.12,0.08,0.07
19,Minnesota,0.08,0.00,0.00,0.13,0.04,0.19
20,Pittsburgh,0.08,0.00,0.00,0.12,0.04,0.15
20,NY Mets,0.08,0.00,0.00,0.09,0.07,0.14
22,Houston,0.06,0.00,0.00,0.00,0.12,0.10
23,Milwaukee,0.06,0.33,1.00,0.12,0.00,0.11
23,Chi Cubs,0.06,0.00,0.00,0.09,0.04,0.09
25,NY Yankees,0.02,0.00,0.00,0.04,0.00,0.16
26,Washington,0.00,0.00,0.00,0.00,0.00,0.12
26,Texas,0.00,0.00,0.00,0.00,0.00,0.09
26,San Diego,0.00,0.00,0.00,0.00,0.00,0.12
26,Colorado,0.00,0.00,0.00,0.00,0.00,0.13
26,Cincinnati,0.00,0.00,0.00,0.00,0.00,0.10
