# Data scraped on: 2025-05-22 02:21:26
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Chi Cubs,4.10,5.67,1.00,4.30,3.93,3.06
2,NY Yankees,3.88,2.00,1.00,3.96,3.77,3.32
3,LA Dodgers,3.80,2.33,3.00,4.41,3.09,3.57
4,Detroit,3.64,2.33,3.00,3.91,3.43,2.75
5,SF Giants,3.26,1.67,2.00,3.08,3.46,2.76
6,Cincinnati,3.20,1.00,1.00,3.20,3.19,3.14
7,St. Louis,3.16,3.00,1.00,3.54,2.81,2.70
7,Arizona,3.16,2.67,1.00,3.31,3.00,3.64
9,Minnesota,3.10,2.00,1.00,3.61,2.65,2.81
10,Boston,3.10,2.00,1.00,3.04,3.16,3.32
11,Seattle,3.06,1.67,4.00,2.67,3.46,2.78
12,Milwaukee,3.02,3.00,2.00,2.76,3.28,3.28
13,San Diego,3.00,0.33,0.00,2.79,3.22,3.08
14,Philadelphia,2.96,4.67,9.00,3.52,2.38,3.37
15,Washington,2.78,6.33,4.00,2.87,2.69,2.73
16,Sacramento,2.76,3.67,4.00,2.92,2.62,2.72
17,LA Angels,2.67,5.00,6.00,2.74,2.62,2.71
18,Texas,2.66,1.33,1.00,2.81,2.48,2.84
19,Atlanta,2.65,5.33,3.00,2.68,2.62,2.86
20,Tampa Bay,2.63,2.67,5.00,2.71,2.50,2.42
21,Houston,2.61,2.33,2.00,3.21,2.04,3.14
22,Cleveland,2.56,1.33,2.00,2.41,2.69,3.06
23,Toronto,2.54,2.33,2.00,2.78,2.24,2.99
24,NY Mets,2.54,0.67,1.00,2.64,2.46,3.27
25,Baltimore,2.52,0.67,1.00,2.83,2.24,3.24
26,Miami,2.44,2.67,1.00,2.68,2.10,2.64
27,Kansas City,2.16,3.00,8.00,2.00,2.32,2.99
28,Chi Sox,2.14,1.67,4.00,2.63,1.69,2.14
29,Colorado,2.06,2.33,3.00,2.54,1.60,2.91
30,Pittsburgh,1.88,1.33,2.00,1.76,2.00,2.81
