# Data scraped on: 2025-05-22 02:21:30
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Kansas City,51,3,1,26,25,168
1,Boston,51,3,1,26,25,162
1,Cincinnati,51,3,1,25,26,162
4,Arizona,50,3,1,26,24,162
4,Pittsburgh,50,3,1,25,25,162
4,Texas,50,3,1,27,23,162
4,LA Dodgers,50,3,1,27,23,178
4,St. Louis,50,3,1,24,26,162
4,NY Mets,50,3,1,22,28,175
4,Sacramento,50,3,1,24,26,162
4,Chi Sox,50,3,1,24,26,162
4,SF Giants,50,3,1,26,24,162
4,Milwaukee,50,3,1,25,25,165
4,Chi Cubs,50,3,1,23,27,162
4,Detroit,50,3,1,22,28,169
16,Washington,49,3,1,23,26,162
16,Houston,49,3,1,24,25,163
16,Tampa Bay,49,3,1,31,18,162
16,Minnesota,49,3,1,23,26,162
16,Colorado,49,3,1,24,25,162
16,Philadelphia,49,3,1,25,24,166
22,NY Yankees,48,3,1,26,22,176
22,Atlanta,48,3,1,22,26,164
22,Seattle,48,3,1,24,24,162
22,Cleveland,48,3,1,22,26,171
22,Miami,48,3,1,28,20,162
22,Toronto,48,3,1,27,21,162
22,LA Angels,48,3,1,19,29,162
22,Baltimore,48,3,1,23,25,164
30,San Diego,47,3,1,24,23,169
