# Data scraped on: 2025-05-22 02:21:39
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,1.83,3.67,3.00,1.77,1.91,1.53
2,Arizona,1.80,1.00,0.00,1.73,1.88,1.72
3,NY Mets,1.74,1.33,4.00,1.45,1.96,1.35
4,Philadelphia,1.73,3.67,0.00,1.60,1.88,1.34
5,Chi Cubs,1.70,2.00,1.00,1.52,1.85,1.40
6,LA Dodgers,1.68,0.67,0.00,1.37,2.04,1.51
7,Washington,1.55,2.00,1.00,1.52,1.58,1.22
8,Detroit,1.54,2.33,2.00,1.18,1.82,1.21
9,Miami,1.52,0.67,0.00,1.43,1.65,1.17
10,St. Louis,1.52,2.33,0.00,1.13,1.88,1.30
11,Boston,1.45,0.00,0.00,1.65,1.24,1.11
12,Toronto,1.44,4.00,12.00,1.59,1.24,1.07
13,Seattle,1.42,2.00,2.00,1.54,1.29,1.27
14,LA Angels,1.38,2.00,4.00,1.26,1.45,1.15
15,Sacramento,1.34,0.67,1.00,1.17,1.50,1.12
16,Atlanta,1.33,1.00,0.00,1.41,1.27,1.35
17,Cleveland,1.31,2.33,3.00,0.95,1.62,1.14
18,Houston,1.31,1.00,2.00,1.25,1.36,1.32
19,Colorado,1.29,1.67,2.00,1.75,0.84,1.17
20,Cincinnati,1.27,1.67,0.00,0.96,1.58,1.08
21,San Diego,1.23,0.00,0.00,1.42,1.04,1.47
22,Baltimore,1.19,2.33,2.00,1.43,0.96,1.46
23,Milwaukee,1.16,1.33,1.00,0.88,1.44,1.38
24,Tampa Bay,1.14,2.00,3.00,1.10,1.22,1.19
25,Kansas City,1.12,1.33,0.00,1.12,1.12,1.40
26,Chi Sox,1.04,0.67,1.00,1.08,1.00,0.93
26,SF Giants,1.04,1.00,2.00,1.04,1.04,1.36
28,Pittsburgh,0.96,0.33,1.00,1.32,0.60,1.15
29,Minnesota,0.92,1.00,0.00,0.87,0.96,1.58
30,Texas,0.76,1.33,2.00,0.78,0.74,1.28
