# Data scraped on: 2025-05-22 02:21:49
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Angels,60.42%,66.67%,100.00%,63.16%,58.62%,77.78%
2,LA Dodgers,62.00%,100.00%,100.00%,59.26%,65.22%,63.48%
3,Philadelphia,63.27%,33.33%,0.00%,48.00%,79.17%,63.25%
4,San Diego,63.83%,66.67%,100.00%,66.67%,60.87%,70.41%
5,Arizona,64.00%,66.67%,100.00%,61.54%,66.67%,61.11%
5,Chi Sox,64.00%,100.00%,100.00%,66.67%,61.54%,79.01%
7,NY Yankees,64.58%,66.67%,100.00%,65.38%,63.64%,64.77%
7,Seattle,64.58%,66.67%,0.00%,79.17%,50.00%,72.22%
9,Minnesota,65.31%,66.67%,100.00%,60.87%,69.23%,72.84%
10,Washington,67.35%,0.00%,0.00%,60.87%,73.08%,79.01%
11,Detroit,68.00%,66.67%,100.00%,68.18%,67.86%,72.19%
12,Boston,68.63%,66.67%,100.00%,65.38%,72.00%,69.14%
13,Sacramento,70.00%,66.67%,100.00%,66.67%,73.08%,74.69%
14,Cincinnati,70.59%,66.67%,100.00%,72.00%,69.23%,75.31%
15,Pittsburgh,72.00%,33.33%,0.00%,68.00%,76.00%,78.40%
16,Atlanta,72.92%,33.33%,100.00%,77.27%,69.23%,71.34%
16,Miami,72.92%,33.33%,0.00%,71.43%,75.00%,74.07%
18,Texas,74.00%,100.00%,100.00%,81.48%,65.22%,69.14%
18,St. Louis,74.00%,66.67%,100.00%,79.17%,69.23%,77.78%
18,SF Giants,74.00%,100.00%,100.00%,76.92%,70.83%,74.07%
18,Chi Cubs,74.00%,33.33%,0.00%,73.91%,74.07%,74.07%
22,Kansas City,74.51%,66.67%,0.00%,73.08%,76.00%,73.21%
23,Cleveland,75.00%,66.67%,100.00%,72.73%,76.92%,71.93%
23,Toronto,75.00%,66.67%,100.00%,74.07%,76.19%,75.31%
23,Baltimore,75.00%,100.00%,100.00%,78.26%,72.00%,71.95%
26,Colorado,75.51%,33.33%,0.00%,66.67%,84.00%,74.07%
27,Tampa Bay,77.55%,66.67%,0.00%,67.74%,94.44%,74.07%
28,NY Mets,78.00%,100.00%,100.00%,68.18%,85.71%,74.86%
29,Milwaukee,80.00%,100.00%,100.00%,88.00%,72.00%,73.33%
30,Houston,83.67%,66.67%,0.00%,87.50%,80.00%,72.39%
