# Data scraped on: 2025-05-22 02:21:53
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Kansas City,0.06,0.00,0.00,0.04,0.08,0.40
2,NY Yankees,0.25,0.00,0.00,0.38,0.09,0.46
3,NY Mets,0.26,0.67,0.00,0.18,0.32,0.38
4,Philadelphia,0.29,0.67,1.00,0.32,0.25,0.42
5,Detroit,0.30,0.33,0.00,0.36,0.25,0.46
6,Pittsburgh,0.36,0.33,0.00,0.16,0.56,0.48
6,Texas,0.36,0.00,0.00,0.22,0.52,0.51
8,Minnesota,0.37,0.33,0.00,0.26,0.46,0.57
9,Cincinnati,0.37,0.67,1.00,0.40,0.35,0.49
10,Cleveland,0.42,0.33,0.00,0.50,0.35,0.45
11,Chi Cubs,0.42,1.00,1.00,0.52,0.33,0.39
12,Tampa Bay,0.45,0.67,2.00,0.45,0.44,0.48
13,San Diego,0.49,0.33,0.00,0.17,0.83,0.51
14,Milwaukee,0.52,0.00,0.00,0.48,0.56,0.55
14,St. Louis,0.52,0.67,0.00,0.54,0.50,0.50
16,Atlanta,0.52,1.00,3.00,0.41,0.62,0.45
17,Seattle,0.54,0.00,0.00,0.54,0.54,0.38
18,Washington,0.55,0.00,0.00,0.65,0.46,0.46
19,SF Giants,0.58,0.33,1.00,0.42,0.75,0.58
19,Arizona,0.58,0.00,0.00,0.42,0.75,0.39
21,Miami,0.58,0.67,1.00,0.36,0.90,0.65
22,Boston,0.61,0.00,0.00,0.62,0.60,0.44
23,Toronto,0.63,0.67,0.00,0.67,0.57,0.51
24,Chi Sox,0.66,1.00,3.00,0.58,0.73,0.52
25,LA Angels,0.67,0.67,0.00,0.58,0.72,0.63
26,Houston,0.67,0.67,2.00,0.71,0.64,0.61
27,Sacramento,0.74,0.33,0.00,0.92,0.58,0.60
28,LA Dodgers,0.76,0.67,0.00,0.78,0.74,0.59
29,Baltimore,0.81,0.00,0.00,0.83,0.80,0.37
30,Colorado,1.08,1.67,2.00,0.92,1.24,0.75
