# Data scraped on: 2025-05-22 02:22:03
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Texas,0.24,0.00,0.00,0.15,0.35,0.56
1,Detroit,0.24,0.00,0.00,0.18,0.29,0.46
3,Philadelphia,0.24,0.33,0.00,0.36,0.13,0.53
4,Kansas City,0.31,0.33,1.00,0.27,0.36,0.40
5,Milwaukee,0.32,0.00,0.00,0.04,0.60,0.39
6,NY Mets,0.38,0.00,0.00,0.09,0.61,0.55
6,Chi Sox,0.38,0.33,0.00,0.13,0.62,0.56
8,LA Angels,0.40,0.00,0.00,0.63,0.24,0.66
9,Washington,0.41,0.00,0.00,0.22,0.58,0.54
10,Arizona,0.42,0.00,0.00,0.38,0.46,0.52
11,Tampa Bay,0.43,0.33,0.00,0.32,0.61,0.40
12,Seattle,0.46,0.67,1.00,0.33,0.58,0.46
13,St. Louis,0.46,0.67,0.00,0.46,0.46,0.50
13,Chi Cubs,0.46,0.33,0.00,0.39,0.52,0.46
15,Houston,0.47,0.00,0.00,0.75,0.20,0.45
16,Cincinnati,0.53,0.00,0.00,0.28,0.77,0.54
17,Cleveland,0.54,0.33,1.00,0.14,0.88,0.47
18,Toronto,0.56,0.00,0.00,0.56,0.57,0.48
19,San Diego,0.57,0.00,0.00,0.54,0.61,0.43
20,Pittsburgh,0.58,0.33,1.00,0.52,0.64,0.54
21,Atlanta,0.58,2.00,0.00,0.45,0.69,0.43
22,SF Giants,0.60,0.33,0.00,0.77,0.42,0.47
23,Miami,0.60,0.00,0.00,0.39,0.90,0.70
24,Minnesota,0.61,1.00,0.00,0.17,1.00,0.53
25,NY Yankees,0.63,0.00,0.00,0.31,1.00,0.46
26,LA Dodgers,0.64,1.33,0.00,0.63,0.65,0.52
27,Boston,0.67,0.33,0.00,0.35,1.00,0.47
28,Baltimore,0.77,0.33,0.00,0.91,0.64,0.46
29,Sacramento,0.82,1.67,2.00,0.75,0.88,0.47
30,Colorado,0.98,1.33,4.00,1.46,0.52,0.60
