# Data scraped on: 2025-05-22 02:22:21
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,SF Giants,0.12,0.00,0.00,0.08,0.17,0.37
2,Houston,0.16,0.00,0.00,0.13,0.20,0.31
3,Tampa Bay,0.27,0.33,0.00,0.19,0.39,0.47
4,Kansas City,0.33,0.00,0.00,0.27,0.40,0.55
4,Toronto,0.33,0.33,0.00,0.37,0.29,0.44
6,Chi Sox,0.34,0.00,0.00,0.21,0.46,0.69
7,Cincinnati,0.35,0.00,0.00,0.32,0.38,0.59
8,NY Mets,0.36,0.00,0.00,0.32,0.39,0.41
9,Minnesota,0.37,0.00,0.00,0.26,0.46,0.48
10,Sacramento,0.38,0.00,0.00,0.46,0.31,0.52
11,NY Yankees,0.40,0.67,2.00,0.38,0.41,0.53
12,Seattle,0.44,0.33,1.00,0.46,0.42,0.54
13,Atlanta,0.46,1.00,1.00,0.36,0.54,0.41
14,Chi Cubs,0.46,0.00,0.00,0.61,0.33,0.38
14,Texas,0.46,0.67,1.00,0.44,0.48,0.56
16,Miami,0.50,0.00,0.00,0.43,0.60,0.60
17,Boston,0.51,1.00,3.00,0.73,0.28,0.67
18,St. Louis,0.52,0.00,0.00,0.38,0.65,0.46
19,Pittsburgh,0.54,0.00,0.00,0.64,0.44,0.41
20,LA Dodgers,0.58,0.00,0.00,0.74,0.39,0.29
21,Arizona,0.60,0.00,0.00,0.65,0.54,0.48
22,Baltimore,0.60,0.00,0.00,0.52,0.68,0.46
23,San Diego,0.62,1.67,5.00,0.25,1.00,0.35
24,Cleveland,0.63,0.00,0.00,0.45,0.77,0.33
25,Detroit,0.64,2.33,0.00,0.36,0.86,0.43
26,LA Angels,0.65,0.33,1.00,0.42,0.79,0.52
27,Philadelphia,0.69,0.33,0.00,0.64,0.75,0.49
28,Colorado,0.73,1.33,0.00,0.79,0.68,0.56
29,Milwaukee,0.74,1.67,0.00,0.76,0.72,0.46
30,Washington,0.94,1.00,0.00,1.17,0.73,0.38
