# Data scraped on: 2025-05-22 02:22:36
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Texas,0.00,0.00,0.00,0.00,0.00,0.04
1,Houston,0.00,0.00,0.00,0.00,0.00,0.10
3,Atlanta,0.02,0.00,0.00,0.05,0.00,0.07
3,Cleveland,0.02,0.00,0.00,0.05,0.00,0.09
5,Baltimore,0.04,0.33,1.00,0.04,0.04,0.10
6,San Diego,0.04,0.00,0.00,0.04,0.04,0.06
7,NY Mets,0.06,0.00,0.00,0.05,0.07,0.19
7,Sacramento,0.06,0.00,0.00,0.08,0.04,0.19
7,Chi Sox,0.06,0.00,0.00,0.00,0.12,0.11
7,SF Giants,0.06,0.00,0.00,0.04,0.08,0.15
11,Tampa Bay,0.06,0.00,0.00,0.06,0.06,0.10
12,Washington,0.08,0.00,0.00,0.17,0.00,0.20
13,NY Yankees,0.08,0.00,0.00,0.00,0.18,0.19
14,Pittsburgh,0.10,0.00,0.00,0.12,0.08,0.20
15,Minnesota,0.10,0.00,0.00,0.13,0.08,0.17
16,Miami,0.10,0.00,0.00,0.11,0.10,0.17
16,LA Angels,0.10,0.00,0.00,0.00,0.17,0.10
18,Kansas City,0.12,0.00,0.00,0.15,0.08,0.07
19,Milwaukee,0.12,1.67,5.00,0.24,0.00,0.15
20,Colorado,0.12,0.00,0.00,0.21,0.04,0.10
21,Seattle,0.13,0.00,0.00,0.04,0.21,0.09
22,LA Dodgers,0.14,0.67,0.00,0.19,0.09,0.10
23,Toronto,0.15,0.00,0.00,0.19,0.10,0.09
24,Boston,0.18,0.00,0.00,0.08,0.28,0.26
25,Detroit,0.18,0.00,0.00,0.18,0.18,0.15
26,Arizona,0.22,1.00,0.00,0.23,0.21,0.12
26,St. Louis,0.22,0.00,0.00,0.33,0.12,0.14
28,Philadelphia,0.22,0.00,0.00,0.20,0.25,0.08
29,Cincinnati,0.24,0.00,0.00,0.32,0.15,0.06
30,Chi Cubs,0.26,0.00,0.00,0.57,0.00,0.07
