# Data scraped on: 2025-05-22 02:22:41
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Kansas City,1.04,1.33,2.00,0.96,1.12,1.65
2,Texas,1.26,1.00,1.00,0.74,1.87,2.12
3,NY Mets,1.30,1.00,0.00,0.77,1.71,1.82
3,Detroit,1.30,0.67,0.00,1.18,1.39,1.63
5,Philadelphia,1.45,2.00,3.00,1.56,1.33,1.78
6,Pittsburgh,1.60,0.67,1.00,1.32,1.88,1.93
7,Cincinnati,1.61,1.00,2.00,1.32,1.88,1.78
8,San Diego,1.70,1.33,0.00,1.17,2.26,2.08
9,Minnesota,1.71,2.00,0.00,1.17,2.19,2.09
10,St. Louis,1.74,2.00,2.00,1.46,2.00,1.86
11,Washington,1.76,1.00,3.00,1.65,1.85,2.14
12,Chi Sox,1.76,1.33,3.00,1.17,2.31,2.18
13,Seattle,1.77,1.67,4.00,1.38,2.17,1.56
14,Cleveland,1.81,2.33,1.00,1.36,2.19,2.01
15,Tampa Bay,1.82,2.33,2.00,1.81,1.83,1.67
16,Chi Cubs,1.84,1.33,1.00,1.96,1.74,1.87
17,Atlanta,1.85,3.33,4.00,1.68,2.00,1.71
18,NY Yankees,1.90,0.33,0.00,1.69,2.14,1.73
19,Toronto,1.92,0.67,0.00,2.15,1.62,1.77
20,SF Giants,1.94,2.33,6.00,1.85,2.04,2.07
21,Milwaukee,1.98,0.67,1.00,1.80,2.16,1.76
22,Houston,2.00,1.00,3.00,2.38,1.64,1.77
23,LA Angels,2.13,3.00,3.00,1.79,2.34,2.52
24,Arizona,2.16,0.67,0.00,1.62,2.75,2.07
25,LA Dodgers,2.18,2.67,1.00,2.07,2.30,2.09
26,Boston,2.20,0.67,1.00,1.85,2.56,1.77
27,Miami,2.23,1.67,1.00,1.71,2.95,2.52
28,Sacramento,2.60,3.67,6.00,2.92,2.31,2.39
29,Baltimore,2.92,2.00,0.00,3.48,2.40,1.85
30,Colorado,3.24,3.00,6.00,4.04,2.48,2.65
