# Data scraped on: 2025-05-22 02:22:56
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,SF Giants,0.54,1.33,0.00,0.62,0.46,0.77
1,Detroit,0.54,0.00,0.00,0.77,0.36,0.74
3,Minnesota,0.57,2.33,3.00,0.61,0.54,0.75
4,Houston,0.63,2.00,3.00,0.38,0.88,0.89
5,Cincinnati,0.71,0.33,1.00,0.88,0.54,0.83
5,Kansas City,0.71,1.00,2.00,0.62,0.80,0.83
7,Milwaukee,0.76,0.67,2.00,0.56,0.96,0.65
8,San Diego,0.77,3.00,7.00,0.67,0.87,0.87
9,St. Louis,0.80,2.33,2.00,0.67,0.92,0.60
9,LA Dodgers,0.80,1.00,0.00,1.04,0.52,0.84
11,NY Mets,0.82,0.00,0.00,0.82,0.82,0.99
12,Boston,0.82,0.33,1.00,1.00,0.64,0.78
13,Atlanta,0.83,1.00,0.00,0.95,0.73,0.68
14,Colorado,0.84,2.33,0.00,1.13,0.56,1.29
15,Chi Cubs,0.84,0.67,0.00,0.65,1.00,0.88
16,NY Yankees,0.85,0.67,0.00,0.96,0.73,0.70
17,Texas,0.86,2.33,2.00,0.85,0.87,0.80
18,Seattle,0.88,0.33,0.00,1.04,0.71,0.73
18,Toronto,0.88,0.00,0.00,0.85,0.90,1.09
20,Tampa Bay,0.88,0.67,2.00,1.00,0.67,0.75
21,Cleveland,0.90,0.67,0.00,0.91,0.88,0.57
22,Philadelphia,0.90,1.33,2.00,1.16,0.63,0.84
23,Miami,0.94,2.00,1.00,0.96,0.90,0.78
24,Pittsburgh,1.00,1.67,0.00,1.20,0.80,0.87
25,Chi Sox,1.06,2.00,2.00,1.21,0.92,1.01
26,Baltimore,1.13,1.33,1.00,1.65,0.64,0.80
27,Sacramento,1.16,2.00,4.00,1.17,1.15,0.80
28,Arizona,1.18,0.67,0.00,1.38,0.96,0.90
29,Washington,1.20,1.33,0.00,1.35,1.08,0.91
30,LA Angels,1.25,0.33,0.00,1.63,1.00,0.74
