# Data scraped on: 2025-05-22 02:23:16
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Detroit,0.340,0.333,0.000,0.227,0.429,0.468
2,Philadelphia,0.367,0.000,0.000,0.320,0.417,0.422
3,LA Dodgers,0.380,0.333,0.000,0.296,0.478,0.388
4,NY Yankees,0.396,0.000,0.000,0.346,0.455,0.421
5,NY Mets,0.400,0.667,0.000,0.227,0.536,0.451
5,Chi Cubs,0.400,0.333,0.000,0.348,0.444,0.488
7,Seattle,0.417,0.333,0.000,0.458,0.375,0.475
8,SF Giants,0.420,0.667,1.000,0.346,0.500,0.506
9,San Diego,0.426,1.000,1.000,0.333,0.522,0.426
10,Minnesota,0.449,0.667,1.000,0.304,0.577,0.494
11,Kansas City,0.451,0.333,0.000,0.346,0.560,0.470
12,Cleveland,0.458,0.667,0.000,0.364,0.539,0.439
13,St. Louis,0.460,0.667,1.000,0.333,0.577,0.488
14,Arizona,0.480,0.667,1.000,0.500,0.458,0.451
15,Houston,0.490,0.667,1.000,0.375,0.600,0.460
16,Atlanta,0.500,0.667,1.000,0.318,0.654,0.457
16,Toronto,0.500,0.333,0.000,0.444,0.571,0.543
16,Texas,0.500,1.000,1.000,0.370,0.652,0.519
19,Boston,0.510,0.333,1.000,0.462,0.560,0.500
19,Cincinnati,0.510,0.667,1.000,0.480,0.539,0.525
21,Milwaukee,0.520,0.333,1.000,0.400,0.640,0.430
22,LA Angels,0.521,0.000,0.000,0.526,0.517,0.611
23,Tampa Bay,0.531,0.333,0.000,0.581,0.444,0.506
24,Washington,0.551,0.000,0.000,0.522,0.577,0.562
25,Sacramento,0.560,1.000,1.000,0.667,0.462,0.574
26,Miami,0.604,0.667,1.000,0.536,0.700,0.617
27,Pittsburgh,0.660,0.333,0.000,0.560,0.760,0.531
28,Baltimore,0.667,0.667,0.000,0.652,0.680,0.445
29,Chi Sox,0.700,0.667,1.000,0.583,0.808,0.747
30,Colorado,0.837,1.000,1.000,0.792,0.880,0.624
