# Data scraped on: 2025-05-22 02:23:26
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Kansas City,5.88%,0.00%,0.00%,3.85%,8.00%,22.62%
2,NY Yankees,14.58%,0.00%,0.00%,19.23%,9.09%,26.70%
3,NY Mets,16.00%,33.33%,0.00%,9.09%,21.43%,22.29%
4,Pittsburgh,20.00%,33.33%,0.00%,16.00%,24.00%,25.93%
5,Philadelphia,20.41%,66.67%,100.00%,16.00%,25.00%,25.90%
6,San Diego,23.40%,33.33%,0.00%,16.67%,30.43%,31.36%
7,Texas,24.00%,0.00%,0.00%,22.22%,26.09%,29.01%
7,Detroit,24.00%,33.33%,0.00%,27.27%,21.43%,27.22%
9,St. Louis,26.00%,33.33%,0.00%,33.33%,19.23%,24.07%
10,Houston,26.53%,33.33%,100.00%,25.00%,28.00%,28.22%
11,Cincinnati,27.45%,66.67%,100.00%,28.00%,26.92%,25.31%
12,Chi Cubs,28.00%,66.67%,100.00%,30.43%,25.93%,21.60%
13,Washington,28.57%,0.00%,0.00%,30.43%,26.92%,24.07%
14,Cleveland,29.17%,33.33%,0.00%,31.82%,26.92%,29.82%
15,Minnesota,30.61%,33.33%,0.00%,26.09%,34.62%,30.25%
16,Arizona,32.00%,0.00%,0.00%,26.92%,37.50%,22.84%
16,Sacramento,32.00%,33.33%,0.00%,37.50%,26.92%,32.10%
16,SF Giants,32.00%,33.33%,100.00%,30.77%,33.33%,30.25%
16,Milwaukee,32.00%,0.00%,0.00%,28.00%,36.00%,31.52%
20,Tampa Bay,32.65%,33.33%,100.00%,35.48%,27.78%,29.01%
21,Atlanta,33.33%,33.33%,100.00%,31.82%,34.62%,23.78%
21,Seattle,33.33%,0.00%,0.00%,25.00%,41.67%,21.60%
23,Boston,35.29%,0.00%,0.00%,42.31%,28.00%,26.54%
24,Miami,35.42%,66.67%,100.00%,32.14%,40.00%,37.04%
24,Toronto,35.42%,33.33%,0.00%,37.04%,33.33%,28.40%
26,Chi Sox,36.00%,33.33%,100.00%,33.33%,38.46%,27.16%
27,LA Angels,37.50%,33.33%,0.00%,42.11%,34.48%,29.63%
28,LA Dodgers,38.00%,33.33%,0.00%,44.44%,30.43%,30.34%
29,Baltimore,39.58%,0.00%,0.00%,34.78%,44.00%,25.00%
30,Colorado,46.94%,66.67%,100.00%,45.83%,48.00%,37.04%
