# Data scraped on: 2025-05-22 02:23:51
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Angels,39.58%,33.33%,0.00%,36.84%,41.38%,22.22%
2,LA Dodgers,38.00%,0.00%,0.00%,40.74%,34.78%,36.52%
3,Philadelphia,36.73%,66.67%,100.00%,52.00%,20.83%,36.75%
4,San Diego,36.17%,33.33%,0.00%,33.33%,39.13%,29.59%
5,Chi Sox,36.00%,0.00%,0.00%,33.33%,38.46%,20.99%
5,Arizona,36.00%,33.33%,0.00%,38.46%,33.33%,38.89%
7,Seattle,35.42%,33.33%,100.00%,20.83%,50.00%,27.78%
7,NY Yankees,35.42%,33.33%,0.00%,34.62%,36.36%,35.23%
9,Minnesota,34.69%,33.33%,0.00%,39.13%,30.77%,27.16%
10,Washington,32.65%,100.00%,100.00%,39.13%,26.92%,20.99%
11,Detroit,32.00%,33.33%,0.00%,31.82%,32.14%,27.81%
12,Boston,31.37%,33.33%,0.00%,34.62%,28.00%,30.86%
13,Sacramento,30.00%,33.33%,0.00%,33.33%,26.92%,25.31%
14,Cincinnati,29.41%,33.33%,0.00%,28.00%,30.77%,24.69%
15,Pittsburgh,28.00%,66.67%,100.00%,32.00%,24.00%,21.60%
16,Atlanta,27.08%,66.67%,0.00%,22.73%,30.77%,28.66%
16,Miami,27.08%,66.67%,100.00%,28.57%,25.00%,25.93%
18,St. Louis,26.00%,33.33%,0.00%,20.83%,30.77%,22.22%
18,SF Giants,26.00%,0.00%,0.00%,23.08%,29.17%,25.93%
18,Chi Cubs,26.00%,66.67%,100.00%,26.09%,25.93%,25.93%
18,Texas,26.00%,0.00%,0.00%,18.52%,34.78%,30.86%
22,Kansas City,25.49%,33.33%,100.00%,26.92%,24.00%,26.79%
23,Cleveland,25.00%,33.33%,0.00%,27.27%,23.08%,28.07%
23,Toronto,25.00%,33.33%,0.00%,25.93%,23.81%,24.69%
23,Baltimore,25.00%,0.00%,0.00%,21.74%,28.00%,28.05%
26,Colorado,24.49%,66.67%,100.00%,33.33%,16.00%,25.93%
27,Tampa Bay,22.45%,33.33%,100.00%,32.26%,5.56%,25.93%
28,NY Mets,22.00%,0.00%,0.00%,31.82%,14.29%,25.14%
29,Milwaukee,20.00%,0.00%,0.00%,12.00%,28.00%,26.67%
30,Houston,16.33%,33.33%,100.00%,12.50%,20.00%,27.61%
