# Data scraped on: 2025-05-22 02:23:56
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Philadelphia,0.311,0.375,0.273,0.313,0.309,0.304
2,Detroit,0.310,0.270,0.280,0.314,0.308,0.289
3,St. Louis,0.310,0.333,0.227,0.333,0.288,0.294
4,Boston,0.307,0.279,0.375,0.307,0.307,0.314
5,LA Dodgers,0.303,0.187,0.211,0.308,0.298,0.293
6,NY Yankees,0.300,0.246,0.176,0.264,0.338,0.281
7,Miami,0.300,0.256,0.214,0.312,0.282,0.299
8,San Diego,0.298,0.222,0.217,0.294,0.302,0.292
9,Chi Cubs,0.298,0.411,0.292,0.293,0.302,0.291
10,Cincinnati,0.298,0.284,0.190,0.285,0.310,0.283
11,Tampa Bay,0.295,0.254,0.273,0.294,0.298,0.289
12,Atlanta,0.295,0.360,0.222,0.319,0.275,0.291
13,Toronto,0.293,0.282,0.387,0.285,0.302,0.283
14,Minnesota,0.293,0.274,0.136,0.319,0.272,0.289
15,Houston,0.293,0.309,0.235,0.323,0.265,0.298
16,Kansas City,0.289,0.373,0.417,0.296,0.282,0.283
17,Sacramento,0.288,0.301,0.286,0.300,0.276,0.284
18,Washington,0.286,0.356,0.292,0.305,0.270,0.288
19,NY Mets,0.286,0.284,0.321,0.291,0.282,0.292
20,Arizona,0.286,0.260,0.286,0.285,0.287,0.302
21,SF Giants,0.284,0.260,0.200,0.298,0.267,0.290
22,Baltimore,0.282,0.316,0.361,0.284,0.280,0.287
23,Colorado,0.282,0.311,0.357,0.304,0.259,0.308
24,Milwaukee,0.278,0.269,0.200,0.271,0.284,0.305
25,Seattle,0.276,0.197,0.167,0.255,0.293,0.284
26,Pittsburgh,0.274,0.282,0.375,0.289,0.259,0.291
27,Cleveland,0.271,0.317,0.333,0.265,0.276,0.273
28,Texas,0.269,0.318,0.318,0.268,0.270,0.279
29,LA Angels,0.267,0.347,0.385,0.265,0.269,0.279
30,Chi Sox,0.266,0.250,0.227,0.254,0.277,0.272
