# Data scraped on: 2025-05-22 02:24:01
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,0.215,0.228,0.276,0.237,0.193,0.181
2,LA Dodgers,0.204,0.188,0.103,0.216,0.190,0.189
3,Arizona,0.194,0.206,0.091,0.205,0.183,0.177
4,LA Angels,0.188,0.318,0.474,0.183,0.191,0.140
5,Chi Cubs,0.187,0.179,0.152,0.169,0.201,0.151
6,Boston,0.167,0.144,0.032,0.164,0.171,0.171
7,Sacramento,0.164,0.185,0.231,0.157,0.170,0.159
8,Seattle,0.163,0.162,0.286,0.161,0.166,0.152
9,Detroit,0.162,0.134,0.067,0.158,0.165,0.150
10,NY Mets,0.162,0.074,0.143,0.180,0.149,0.166
11,Baltimore,0.156,0.133,0.130,0.195,0.121,0.184
12,SF Giants,0.152,0.153,0.286,0.147,0.158,0.157
13,Cincinnati,0.150,0.115,0.034,0.155,0.145,0.157
14,Philadelphia,0.150,0.244,0.263,0.161,0.139,0.166
15,Washington,0.148,0.277,0.143,0.165,0.133,0.132
16,Cleveland,0.148,0.135,0.143,0.123,0.167,0.156
17,Texas,0.144,0.154,0.250,0.120,0.170,0.142
18,Atlanta,0.144,0.194,0.188,0.145,0.143,0.171
19,Colorado,0.143,0.136,0.167,0.171,0.115,0.158
20,Minnesota,0.142,0.113,0.034,0.133,0.148,0.165
21,St. Louis,0.140,0.117,0.000,0.149,0.132,0.144
22,Miami,0.140,0.184,0.032,0.136,0.147,0.134
23,Toronto,0.135,0.162,0.225,0.164,0.099,0.148
24,Houston,0.132,0.206,0.281,0.134,0.130,0.155
25,San Diego,0.131,0.083,0.121,0.135,0.128,0.158
26,Tampa Bay,0.126,0.206,0.382,0.135,0.111,0.136
27,Kansas City,0.121,0.125,0.150,0.110,0.133,0.152
28,Milwaukee,0.120,0.194,0.103,0.121,0.119,0.155
29,Chi Sox,0.116,0.134,0.286,0.123,0.109,0.119
30,Pittsburgh,0.102,0.056,0.067,0.106,0.099,0.137
