# Data scraped on: 2025-05-22 02:24:11
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,+94.0,+10.0,+1.0,+55.0,+39.0,+157.0
2,Detroit,+85.0,-2.0,+4.0,+48.0,+37.0,+39.0
3,Chi Cubs,+83.0,+13.0,+1.0,+33.0,+50.0,+67.0
4,LA Dodgers,+62.0,-1.0,+2.0,+39.0,+23.0,+180.0
5,NY Mets,+56.0,0.0,+4.0,+33.0,+23.0,+66.0
6,SF Giants,+42.0,-5.0,-4.0,+21.0,+21.0,-6.0
7,St. Louis,+40.0,+2.0,-4.0,+32.0,+8.0,-47.0
8,Philadelphia,+37.0,+13.0,+4.0,+15.0,+22.0,+102.0
9,Cincinnati,+33.0,+3.0,-2.0,+11.0,+22.0,+5.0
10,Minnesota,+32.0,-6.0,-4.0,+32.0,0.0,+7.0
11,Seattle,+27.0,+4.0,+1.0,0.0,+27.0,+69.0
12,San Diego,+21.0,-22.0,-14.0,+37.0,-16.0,+93.0
13,Houston,+16.0,-4.0,-4.0,+25.0,-9.0,+86.0
14,Atlanta,+9.0,+3.0,-2.0,+18.0,-9.0,+92.0
15,Boston,+8.0,0.0,-4.0,+12.0,-4.0,+4.0
16,Arizona,+4.0,+1.0,-2.0,+3.0,+1.0,+98.0
16,Kansas City,+4.0,+5.0,+4.0,+2.0,+2.0,+91.0
18,Texas,-3.0,-5.0,-1.0,+20.0,-23.0,-55.0
19,Tampa Bay,-5.0,+4.0,+4.0,-5.0,0.0,-59.0
20,Milwaukee,-7.0,0.0,-4.0,-6.0,-1.0,+132.0
21,Toronto,-11.0,+16.0,+14.0,0.0,-11.0,-72.0
22,Cleveland,-17.0,+1.0,+4.0,-5.0,-12.0,+84.0
23,Washington,-47.0,+12.0,+2.0,-29.0,-18.0,-104.0
24,LA Angels,-51.0,+8.0,+5.0,-22.0,-29.0,-162.0
25,Chi Sox,-57.0,-4.0,-1.0,-5.0,-52.0,-306.0
26,Pittsburgh,-65.0,-3.0,+2.0,-29.0,-36.0,-74.0
27,Sacramento,-69.0,-8.0,-5.0,-57.0,-12.0,-121.0
28,Miami,-79.0,-13.0,-1.0,-31.0,-48.0,-204.0
29,Baltimore,-85.0,0.0,+4.0,-54.0,-31.0,+85.0
30,Colorado,-157.0,-13.0,-4.0,-85.0,-72.0,-247.0
