# Data scraped on: 2025-05-22 02:24:16
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,0.350,0.380,0.379,0.382,0.318,0.320
2,LA Dodgers,0.329,0.281,0.138,0.359,0.295,0.321
3,Arizona,0.327,0.280,0.121,0.343,0.310,0.296
4,Chi Cubs,0.326,0.282,0.273,0.339,0.315,0.272
5,Seattle,0.301,0.283,0.486,0.292,0.309,0.280
6,NY Mets,0.292,0.221,0.343,0.307,0.280,0.277
7,Boston,0.285,0.244,0.097,0.289,0.281,0.277
8,Philadelphia,0.279,0.325,0.447,0.294,0.265,0.281
9,LA Angels,0.274,0.409,0.605,0.264,0.280,0.246
10,Cincinnati,0.274,0.156,0.103,0.264,0.282,0.281
11,Detroit,0.271,0.206,0.267,0.287,0.259,0.249
12,SF Giants,0.267,0.276,0.457,0.257,0.278,0.255
13,Sacramento,0.262,0.324,0.410,0.256,0.267,0.263
14,Cleveland,0.261,0.221,0.229,0.246,0.273,0.264
15,Washington,0.258,0.337,0.214,0.268,0.249,0.245
16,Atlanta,0.256,0.333,0.219,0.242,0.268,0.268
17,Milwaukee,0.256,0.398,0.231,0.266,0.246,0.296
18,Baltimore,0.250,0.212,0.174,0.282,0.221,0.285
19,Tampa Bay,0.250,0.412,0.647,0.269,0.221,0.251
20,St. Louis,0.250,0.165,0.032,0.264,0.237,0.242
21,Miami,0.245,0.276,0.161,0.251,0.237,0.222
22,Toronto,0.243,0.283,0.325,0.271,0.209,0.252
23,San Diego,0.242,0.115,0.121,0.272,0.213,0.256
24,Texas,0.242,0.240,0.333,0.235,0.248,0.245
25,Minnesota,0.238,0.237,0.103,0.249,0.229,0.258
26,Colorado,0.238,0.223,0.278,0.281,0.196,0.251
27,Houston,0.234,0.235,0.344,0.253,0.217,0.249
28,Pittsburgh,0.232,0.169,0.167,0.232,0.231,0.241
29,Chi Sox,0.229,0.216,0.371,0.248,0.213,0.203
30,Kansas City,0.208,0.135,0.175,0.198,0.217,0.250
