# Data scraped on: 2025-05-22 02:24:20
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Chi Cubs,34.92,39.00,33.00,33.74,35.93,33.59
2,Boston,34.55,30.00,31.00,33.54,35.60,34.43
3,Philadelphia,34.37,41.00,38.00,33.08,35.71,34.11
4,Sacramento,34.32,36.00,39.00,34.29,34.35,33.53
5,St. Louis,34.20,34.33,31.00,33.50,34.85,33.99
6,Detroit,34.04,32.33,30.00,32.77,35.04,33.55
6,LA Dodgers,34.04,32.00,29.00,33.67,34.48,34.01
8,Miami,34.02,32.67,31.00,33.71,34.45,34.09
8,NY Yankees,34.02,30.67,29.00,31.85,36.59,33.61
10,Atlanta,33.92,36.00,32.00,33.82,34.00,33.82
11,Arizona,33.86,35.67,33.00,32.81,35.00,34.09
12,Seattle,33.79,33.00,35.00,31.58,36.00,32.90
13,Toronto,33.56,33.00,40.00,32.67,34.71,33.40
14,Cincinnati,33.47,32.00,29.00,32.16,34.73,32.87
15,Kansas City,33.43,34.67,40.00,32.62,34.28,33.45
16,Tampa Bay,33.43,32.33,34.00,32.42,35.17,33.27
17,Minnesota,33.31,32.33,29.00,32.30,34.19,33.89
18,Baltimore,33.29,37.67,46.00,33.26,33.32,34.35
19,LA Angels,33.23,36.67,38.00,32.16,33.93,33.07
20,San Diego,33.19,32.00,33.00,31.50,34.96,34.04
21,SF Giants,33.14,32.67,35.00,33.04,33.25,33.70
22,Houston,33.10,34.00,32.00,32.29,33.88,34.31
22,Washington,33.10,33.67,28.00,32.65,33.50,33.17
24,Colorado,33.08,34.33,36.00,33.54,32.64,33.67
25,NY Mets,33.06,31.67,35.00,32.14,33.79,33.97
26,Milwaukee,32.94,34.33,39.00,31.72,34.16,33.76
27,Pittsburgh,32.82,29.67,30.00,32.60,33.04,33.81
28,Cleveland,32.44,34.67,35.00,31.05,33.62,33.07
29,Chi Sox,32.38,32.33,35.00,31.58,33.12,33.23
29,Texas,32.38,34.67,36.00,31.15,33.83,33.78
