# Data scraped on: 2025-05-22 02:24:25
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,LA Dodgers,0.267,0.188,0.172,0.282,0.250,0.256
2,Philadelphia,0.265,0.374,0.316,0.271,0.259,0.256
3,St. Louis,0.263,0.282,0.161,0.287,0.241,0.248
4,Chi Cubs,0.261,0.350,0.242,0.254,0.266,0.242
5,NY Yankees,0.260,0.228,0.172,0.248,0.273,0.246
6,Detroit,0.259,0.227,0.233,0.261,0.258,0.234
7,San Diego,0.257,0.177,0.152,0.257,0.257,0.262
8,Arizona,0.255,0.234,0.212,0.264,0.245,0.263
9,Sacramento,0.253,0.278,0.282,0.262,0.244,0.233
10,Boston,0.252,0.211,0.194,0.255,0.249,0.252
11,Toronto,0.250,0.242,0.350,0.251,0.250,0.241
12,Miami,0.247,0.235,0.194,0.254,0.237,0.244
13,Atlanta,0.246,0.333,0.219,0.265,0.231,0.243
14,NY Mets,0.246,0.232,0.286,0.256,0.239,0.247
15,Kansas City,0.246,0.317,0.400,0.250,0.242,0.247
16,Houston,0.245,0.265,0.219,0.267,0.226,0.261
17,Minnesota,0.243,0.216,0.103,0.254,0.233,0.246
18,Tampa Bay,0.242,0.237,0.294,0.246,0.237,0.230
19,Washington,0.242,0.317,0.286,0.257,0.228,0.243
20,Cincinnati,0.241,0.219,0.138,0.239,0.244,0.231
21,SF Giants,0.236,0.224,0.229,0.255,0.216,0.239
22,Seattle,0.236,0.192,0.200,0.212,0.256,0.224
23,Cleveland,0.234,0.269,0.314,0.217,0.248,0.238
24,Baltimore,0.233,0.248,0.304,0.243,0.224,0.249
25,Texas,0.229,0.240,0.278,0.228,0.230,0.238
26,Milwaukee,0.229,0.243,0.179,0.219,0.238,0.249
27,LA Angels,0.224,0.300,0.368,0.218,0.228,0.229
28,Colorado,0.219,0.243,0.306,0.243,0.195,0.242
29,Pittsburgh,0.218,0.225,0.300,0.229,0.207,0.234
30,Chi Sox,0.216,0.206,0.229,0.211,0.221,0.221
