# Data scraped on: 2025-05-22 02:24:31
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Detroit,0.08,0.33,0.00,0.05,0.11,0.15
2,NY Mets,0.12,0.33,0.00,0.09,0.14,0.13
3,Sacramento,0.14,0.33,0.00,0.17,0.12,0.16
3,Chi Sox,0.14,0.00,0.00,0.08,0.19,0.20
5,LA Angels,0.15,0.00,0.00,0.11,0.17,0.31
6,LA Dodgers,0.18,0.00,0.00,0.04,0.35,0.15
7,Philadelphia,0.18,0.33,0.00,0.16,0.21,0.19
8,Toronto,0.19,0.00,0.00,0.22,0.14,0.10
9,San Diego,0.19,0.00,0.00,0.21,0.17,0.17
10,Chi Cubs,0.20,0.00,0.00,0.22,0.19,0.19
11,Minnesota,0.20,0.33,1.00,0.17,0.23,0.14
11,Colorado,0.20,0.00,0.00,0.13,0.28,0.19
13,Atlanta,0.21,0.00,0.00,0.23,0.19,0.12
13,Baltimore,0.21,0.33,0.00,0.26,0.16,0.15
15,Arizona,0.22,0.00,0.00,0.19,0.25,0.19
15,St. Louis,0.22,0.33,0.00,0.29,0.15,0.18
15,SF Giants,0.22,0.00,0.00,0.27,0.17,0.14
18,NY Yankees,0.23,0.33,0.00,0.19,0.27,0.16
19,Pittsburgh,0.24,0.33,1.00,0.28,0.20,0.12
19,Texas,0.24,0.67,1.00,0.15,0.35,0.15
21,Houston,0.24,1.00,0.00,0.13,0.36,0.15
22,Boston,0.25,0.33,0.00,0.31,0.20,0.27
23,Tampa Bay,0.27,0.33,1.00,0.32,0.17,0.33
24,Cleveland,0.27,0.33,0.00,0.27,0.27,0.27
25,Milwaukee,0.28,0.00,0.00,0.16,0.40,0.26
26,Seattle,0.31,0.67,0.00,0.21,0.42,0.17
27,Cincinnati,0.31,0.67,1.00,0.28,0.35,0.28
28,Miami,0.33,0.67,0.00,0.36,0.30,0.27
29,Washington,0.35,1.00,2.00,0.35,0.35,0.45
30,Kansas City,0.35,1.00,0.00,0.35,0.36,0.20
