# Data scraped on: 2025-05-22 02:25:01
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Philadelphia,9.10,15.33,12.00,8.96,9.25,8.72
2,Chi Cubs,9.10,13.67,8.00,8.57,9.56,8.14
3,LA Dodgers,9.08,6.00,5.00,9.48,8.61,8.70
4,St. Louis,8.98,9.67,5.00,9.63,8.38,8.41
5,NY Yankees,8.85,7.00,5.00,7.88,10.00,8.28
6,Detroit,8.82,7.33,7.00,8.55,9.04,7.83
7,Boston,8.71,6.33,6.00,8.54,8.88,8.67
8,Sacramento,8.68,10.00,11.00,9.00,8.38,7.82
9,Arizona,8.62,8.33,7.00,8.65,8.58,8.96
10,San Diego,8.53,5.67,5.00,8.08,9.00,8.92
11,Miami,8.40,7.67,6.00,8.57,8.15,8.31
11,Toronto,8.40,8.00,14.00,8.19,8.67,8.06
13,Atlanta,8.35,12.00,7.00,8.95,7.85,8.21
14,Kansas City,8.22,11.00,16.00,8.15,8.28,8.27
15,NY Mets,8.14,7.33,10.00,8.23,8.07,8.38
16,Houston,8.12,9.00,7.00,8.63,7.64,8.96
17,Tampa Bay,8.10,7.67,10.00,7.97,8.33,7.66
18,Minnesota,8.08,7.00,3.00,8.22,7.96,8.35
19,Cincinnati,8.08,7.00,4.00,7.68,8.46,7.59
20,Washington,8.00,10.67,8.00,8.39,7.65,8.06
21,Seattle,7.96,6.33,7.00,6.71,9.21,7.38
22,SF Giants,7.82,7.33,8.00,8.42,7.17,8.04
23,Baltimore,7.77,9.33,14.00,8.09,7.48,8.55
24,Cleveland,7.60,9.33,11.00,6.73,8.35,7.87
25,Milwaukee,7.54,8.33,7.00,6.96,8.12,8.39
26,LA Angels,7.44,11.00,14.00,7.00,7.72,7.57
27,Texas,7.42,8.33,10.00,7.11,7.78,8.04
28,Colorado,7.24,8.33,11.00,8.17,6.36,8.14
29,Pittsburgh,7.16,6.67,9.00,7.48,6.84,7.92
30,Chi Sox,7.00,6.67,8.00,6.67,7.31,7.33
