# Data scraped on: 2025-05-22 02:25:06
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,NY Yankees,1.73,1.67,2.00,1.88,1.55,1.47
2,LA Dodgers,1.62,1.33,1.00,1.74,1.48,1.46
3,LA Angels,1.52,2.67,4.00,1.42,1.59,1.02
4,Arizona,1.40,2.00,1.00,1.31,1.50,1.30
5,Chi Cubs,1.38,1.33,1.00,1.04,1.67,1.05
6,Seattle,1.38,1.33,3.00,1.25,1.50,1.14
7,Sacramento,1.26,1.67,3.00,1.13,1.38,1.21
8,Detroit,1.24,0.67,0.00,1.14,1.32,0.98
9,Boston,1.22,0.67,0.00,1.04,1.40,1.20
10,Baltimore,1.17,1.00,1.00,1.57,0.80,1.44
11,Cleveland,1.10,0.67,1.00,0.86,1.31,1.13
12,Philadelphia,1.08,2.33,3.00,1.08,1.08,1.21
13,Texas,1.08,1.33,3.00,0.89,1.30,1.09
14,Atlanta,1.06,1.67,1.00,1.05,1.08,1.31
15,NY Mets,1.06,0.33,1.00,1.27,0.89,1.26
15,SF Giants,1.06,1.00,3.00,0.92,1.21,1.09
17,Washington,1.04,2.00,1.00,1.13,0.96,0.83
18,Cincinnati,1.04,0.00,0.00,1.12,0.96,1.07
19,St. Louis,0.94,0.67,0.00,0.96,0.92,1.02
20,Miami,0.94,1.00,0.00,0.75,1.20,0.93
21,Houston,0.92,2.00,3.00,0.88,0.96,1.17
21,Minnesota,0.92,0.33,0.00,0.74,1.08,1.13
23,Toronto,0.92,1.33,2.00,1.15,0.62,0.96
24,Tampa Bay,0.90,1.67,4.00,0.97,0.78,0.91
25,Colorado,0.88,0.67,1.00,1.04,0.72,1.10
26,San Diego,0.87,0.33,0.00,0.88,0.87,1.19
27,Milwaukee,0.82,1.33,1.00,0.76,0.88,1.10
28,Chi Sox,0.80,1.00,3.00,0.92,0.69,0.82
29,Pittsburgh,0.66,0.00,0.00,0.56,0.76,0.99
30,Kansas City,0.63,0.67,1.00,0.35,0.92,1.02
